
    ------------------------------------------------------
    MEAN ELEMENTS OF THE PLANETS IN THE SOLUTIONS VSOP2013
    ------------------------------------------------------

    Mean Elements are the secular terms of the series VSOP2013
    for the 6 elliptic:
    
    a       =  semi-major axis (astronomical unit), 
    lambda  =  mean longitude (radian), 
    k       =  e.cos(pi), 
    h       =  e.sin(pi), 
    q       =  sin(i/2).cos(omega), 
    p       =  sin(i/2).sin(omega),
    
    with:
    
    e       =  eccentricity,
    pi      =  perihelion longitude (radian),
    i       =  inclination (radian),
    omega   =  ascending node longitude (radian).
    
    T = TDB measured in thousands of Julian years from J2000 (JD 2451545.0).
    
    The secular terms of the set < a, lambda, k, h, p > are directly extracted 
    from the series VSOP2013. 
    
    The secular terms of the set < e, pi, i, omega > are deduced from the complete 
    series VSOP2013 and not from the mean elements of < a, lambda, k, h, p > 
    (that would give inacurate results). 

    -------
    MERCURY
    -------
 
   -0.1038808130233618D-02  ! T**01    MERCURY     i
    0.1402239301106890D-05  ! T**02    MERCURY     i
    0.7466730042640845D-06  ! T**03    MERCURY     i
   -0.8176224723724859D-08  ! T**04    MERCURY     i
   -0.9703223494751428D-10  ! T**05    MERCURY     i
    0.9806949859751241D-11  ! T**06    MERCURY     i
   -0.8765246025862459D-13  ! T**07    MERCURY     i
   -0.1631528972563249D-14  ! T**08    MERCURY     i

    0.8435330084414019D+00  ! T**00    MERCURY     omega
   -0.2189051249383518D-01  ! T**01    MERCURY     omega
   -0.1541885053666899D-03  ! T**02    MERCURY     omega
   -0.3492255680378868D-05  ! T**03    MERCURY     omega
    0.6046665720196510D-07  ! T**04    MERCURY     omega
   -0.5828784172553066D-09  ! T**05    MERCURY     omega
    0.2771222443453112D-10  ! T**06    MERCURY     omega
    0.1061636170987480D-11  ! T**07    MERCURY     omega
    0.1771692023043314D-13  ! T**08    MERCURY     omega

    -----
    VENUS
    -----
 
    0.7233298199450000D+00  ! T**00    VENUS       a      : semi-major axis    
    0.9962468015538649D-12  ! T**01    VENUS       a      : semi-major axis    
    0.8153714209197070D-12  ! T**02    VENUS       a      : semi-major axis    
    0.4685834515914886D-12  ! T**03    VENUS       a      : semi-major axis    
   -0.4582283259265788D-11  ! T**04    VENUS       a      : semi-major axis    
   -0.1069456781033598D-11  ! T**05    VENUS       a      : semi-major axis    
   -0.2472376638460421D-12  ! T**06    VENUS       a      : semi-major axis    
    0.3385323530749442D-13  ! T**07    VENUS       a      : semi-major axis    
    0.1242891399554674D-13  ! T**08    VENUS       a      : semi-major axis    
  
    0.3176134461576000D+01  ! T**00    VENUS       lambda : mean longitude     
    0.1021328554743445D+05  ! T**01    VENUS       lambda : mean longitude     
    0.2824289409513071D-05  ! T**02    VENUS       lambda : mean longitude     
    0.6355373583963255D-07  ! T**03    VENUS       lambda : mean longitude     
   -0.2265564231364570D-08  ! T**04    VENUS       lambda : mean longitude     
    0.1527147434830566D-09  ! T**05    VENUS       lambda : mean longitude     
    0.1421161026695537D-09  ! T**06    VENUS       lambda : mean longitude     
   -0.5418571032851466D-11  ! T**07    VENUS       lambda : mean longitude     
   -0.2266705177691527D-11  ! T**08    VENUS       lambda : mean longitude     
    0.1045667569397347D-13  ! T**09    VENUS       lambda : mean longitude     
    0.1837133998637373D-14  ! T**10    VENUS       lambda : mean longitude     
 
   -0.4492821048000000D-02  ! T**00    VENUS       k      : e cos(pi)          
    0.3126002304108446D-03  ! T**01    VENUS       k      : e cos(pi)          
    0.6057729505260103D-05  ! T**02    VENUS       k      : e cos(pi)          
   -0.6823027053624649D-06  ! T**03    VENUS       k      : e cos(pi)          
    0.4800454225777884D-08  ! T**04    VENUS       k      : e cos(pi)          
    0.5991312768550148D-09  ! T**05    VENUS       k      : e cos(pi)          
   -0.9145680252997922D-11  ! T**06    VENUS       k      : e cos(pi)          
   -0.6514138253821782D-12  ! T**07    VENUS       k      : e cos(pi)          
   -0.5650105995537923D-14  ! T**08    VENUS       k      : e cos(pi)          
   -0.5901307207371679D-15  ! T**09    VENUS       k      : e cos(pi)          
   -0.1728915493838567D-15  ! T**10    VENUS       k      : e cos(pi)          
 
    0.5066851475000001D-02  ! T**00    VENUS       h      : e sin(pi)          
   -0.3612193139215600D-03  ! T**01    VENUS       h      : e sin(pi)          
    0.1844861217822704D-04  ! T**02    VENUS       h      : e sin(pi)          
    0.3483534568791632D-07  ! T**03    VENUS       h      : e sin(pi)          
   -0.6091153571701819D-08  ! T**04    VENUS       h      : e sin(pi)          
   -0.1743169990952612D-09  ! T**05    VENUS       h      : e sin(pi)          
   -0.1139019548625317D-10  ! T**06    VENUS       h      : e sin(pi)          
    0.4980851780078268D-12  ! T**07    VENUS       h      : e sin(pi)          
 
    0.6824113927999999D-02  ! T**00    VENUS       q      : sin(i/2) cos(omega)
    0.1381339313288797D-02  ! T**01    VENUS       q      : sin(i/2) cos(omega)
   -0.1091344274426134D-04  ! T**02    VENUS       q      : sin(i/2) cos(omega)
   -0.1864297517390441D-05  ! T**03    VENUS       q      : sin(i/2) cos(omega)
    0.6039761529142753D-08  ! T**04    VENUS       q      : sin(i/2) cos(omega)
    0.7455291047677198D-09  ! T**05    VENUS       q      : sin(i/2) cos(omega)
   -0.4078488060675263D-11  ! T**06    VENUS       q      : sin(i/2) cos(omega)
   -0.1396624624133270D-12  ! T**07    VENUS       q      : sin(i/2) cos(omega)
 
    0.2882281923000000D-01  ! T**00    VENUS       p      : sin(i/2) sin(omega)
   -0.4039078836907815D-03  ! T**01    VENUS       p      : sin(i/2) sin(omega)
   -0.6232661635102321D-04  ! T**02    VENUS       p      : sin(i/2) sin(omega)
    0.2470048961174132D-06  ! T**03    VENUS       p      : sin(i/2) sin(omega)
    0.4228182873352631D-07  ! T**04    VENUS       p      : sin(i/2) sin(omega)
   -0.5279152719492361D-10  ! T**05    VENUS       p      : sin(i/2) sin(omega)
   -0.1194627825482478D-10  ! T**06    VENUS       p      : sin(i/2) sin(omega)
   -0.2015549050923441D-12  ! T**07    VENUS       p      : sin(i/2) sin(omega)
   -0.1187541205923117D-14  ! T**08    VENUS       p      : sin(i/2) sin(omega)

    0.6771919637983835D-02  ! T**00    VENUS       e
   -0.4776639664069989D-03  ! T**01    VENUS       e
    0.9787152892124150D-05  ! T**02    VENUS       e
    0.4646531720284671D-06  ! T**03    VENUS       e
    0.1244487724020459D-07  ! T**04    VENUS       e
   -0.2905901523925359D-09  ! T**05    VENUS       e
    0.2239137230880079D-11  ! T**06    VENUS       e
   -0.5453241612700977D-12  ! T**07    VENUS       e
   -0.1293556492707428D-12  ! T**08    VENUS       e

    0.2296219348231486D+01  ! T**00    VENUS       pi
    0.8503247160287113D-03  ! T**01    VENUS       pi
   -0.2416771285124890D-02  ! T**02    VENUS       pi
   -0.9972579823455849D-04  ! T**03    VENUS       pi
   -0.3534369722884756D-05  ! T**04    VENUS       pi
    0.1247047525375459D-07  ! T**05    VENUS       pi
    0.1711180409173741D-07  ! T**06    VENUS       pi
    0.1388984564812190D-08  ! T**07    VENUS       pi
    0.7020046919775821D-10  ! T**08    VENUS       pi

    0.5924795778267039D-01  ! T**00    VENUS       i
   -0.1496519898013858D-03  ! T**01    VENUS       i
   -0.5661417134003637D-04  ! T**02    VENUS       i
    0.1608993513291608D-06  ! T**03    VENUS       i
    0.1302513067858421D-07  ! T**04    VENUS       i
    0.1714570529979700D-09  ! T**05    VENUS       i
   -0.4533784934617078D-11  ! T**06    VENUS       i
   -0.3197956044652527D-12  ! T**07    VENUS       i
    0.1314506739154904D-13  ! T**08    VENUS       i

    0.1338316366940214D+01  ! T**00    VENUS       omega
   -0.4852304730243898D-01  ! T**01    VENUS       omega
   -0.2487829734715002D-03  ! T**02    VENUS       omega
   -0.2852649582693748D-05  ! T**03    VENUS       omega
   -0.2275653190305344D-06  ! T**04    VENUS       omega
   -0.5724619190887333D-09  ! T**05    VENUS       omega
    0.1241404167458087D-10  ! T**06    VENUS       omega
   -0.6678531390604065D-11  ! T**07    VENUS       omega
   -0.7695207908692217D-13  ! T**08    VENUS       omega

    ---------------------
    EARTH-MOON BARYCENTER
    ---------------------
  
    0.1000001017641000D+01  ! T**00    EARTH-MOON  a      : semi-major axis    
   -0.4508089492411017D-11  ! T**01    EARTH-MOON  a      : semi-major axis    
    0.1660980382749290D-10  ! T**02    EARTH-MOON  a      : semi-major axis    
   -0.8747991583995403D-12  ! T**03    EARTH-MOON  a      : semi-major axis    
    0.1907114993061305D-11  ! T**04    EARTH-MOON  a      : semi-major axis    
    0.1924215689288333D-11  ! T**05    EARTH-MOON  a      : semi-major axis    
   -0.3724386766861547D-13  ! T**06    EARTH-MOON  a      : semi-major axis    
   -0.6062872000264593D-13  ! T**07    EARTH-MOON  a      : semi-major axis    
   -0.1014624561937254D-14  ! T**08    EARTH-MOON  a      : semi-major axis    
 
    0.1753470369433000D+01  ! T**00    EARTH-MOON  lambda : mean longitude     
