# the byte and line start/end positions of each array in several xsp files
# (useful for seeking)
codes_300ast_20100725.xsp:1102697:20027252:END_ARRAY 43 25609
codes_300ast_20100725.xsp:1102698:20027271:BEGIN_ARRAY 44 25609
codes_300ast_20100725.xsp:1128341:20493165:END_ARRAY 44 25609
codes_300ast_20100725.xsp:1128342:20493184:BEGIN_ARRAY 45 25609
codes_300ast_20100725.xsp:1153985:20958311:END_ARRAY 45 25609
codes_300ast_20100725.xsp:1153986:20958330:BEGIN_ARRAY 46 25609
codes_300ast_20100725.xsp:1179629:21424025:END_ARRAY 46 25609
codes_300ast_20100725.xsp:1179630:21424044:BEGIN_ARRAY 47 25609
codes_300ast_20100725.xsp:1205273:21888721:END_ARRAY 47 25609
codes_300ast_20100725.xsp:1205274:21888740:BEGIN_ARRAY 48 25609
codes_300ast_20100725.xsp:1230917:22354581:END_ARRAY 48 25609
codes_300ast_20100725.xsp:1230918:22354600:BEGIN_ARRAY 49 25609
codes_300ast_20100725.xsp:1256561:22821098:END_ARRAY 49 25609
codes_300ast_20100725.xsp:1256562:22821117:BEGIN_ARRAY 50 25609
codes_300ast_20100725.xsp:1282205:23286203:END_ARRAY 50 25609
codes_300ast_20100725.xsp:1282206:23286222:BEGIN_ARRAY 51 25609
codes_300ast_20100725.xsp:1307849:23751408:END_ARRAY 51 25609
codes_300ast_20100725.xsp:1307850:23751427:BEGIN_ARRAY 52 25609
codes_300ast_20100725.xsp:1333493:24217942:END_ARRAY 52 25609
codes_300ast_20100725.xsp:1333494:24217961:BEGIN_ARRAY 53 25609
codes_300ast_20100725.xsp:1359137:24683915:END_ARRAY 53 25609
codes_300ast_20100725.xsp:1359138:24683934:BEGIN_ARRAY 54 25609
codes_300ast_20100725.xsp:1384781:25150076:END_ARRAY 54 25609
codes_300ast_20100725.xsp:1384782:25150095:BEGIN_ARRAY 55 25609
codes_300ast_20100725.xsp:1410425:25615717:END_ARRAY 55 25609
codes_300ast_20100725.xsp:1410426:25615736:BEGIN_ARRAY 56 25609
codes_300ast_20100725.xsp:1436069:26081667:END_ARRAY 56 25609
codes_300ast_20100725.xsp:1436070:26081686:BEGIN_ARRAY 57 25609
codes_300ast_20100725.xsp:1461713:26547111:END_ARRAY 57 25609
codes_300ast_20100725.xsp:1461714:26547130:BEGIN_ARRAY 58 25609
codes_300ast_20100725.xsp:1487357:27013040:END_ARRAY 58 25609
codes_300ast_20100725.xsp:1487358:27013059:BEGIN_ARRAY 59 25609
codes_300ast_20100725.xsp:1513001:27479375:END_ARRAY 59 25609
codes_300ast_20100725.xsp:1513002:27479394:BEGIN_ARRAY 60 25609
codes_300ast_20100725.xsp:1538645:27943895:END_ARRAY 60 25609
codes_300ast_20100725.xsp:1538646:27943914:BEGIN_ARRAY 61 25609
codes_300ast_20100725.xsp:1564289:28409644:END_ARRAY 61 25609
codes_300ast_20100725.xsp:1564290:28409663:BEGIN_ARRAY 62 25609
codes_300ast_20100725.xsp:1589933:28875307:END_ARRAY 62 25609
codes_300ast_20100725.xsp:1589934:28875326:BEGIN_ARRAY 63 25609
codes_300ast_20100725.xsp:1615577:29340335:END_ARRAY 63 25609
codes_300ast_20100725.xsp:1615578:29340354:BEGIN_ARRAY 64 25609
codes_300ast_20100725.xsp:1641221:29806231:END_ARRAY 64 25609
codes_300ast_20100725.xsp:1641222:29806250:BEGIN_ARRAY 65 25609
codes_300ast_20100725.xsp:1666865:30272191:END_ARRAY 65 25609
codes_300ast_20100725.xsp:1666866:30272210:BEGIN_ARRAY 66 25609
codes_300ast_20100725.xsp:1692509:30737304:END_ARRAY 66 25609
codes_300ast_20100725.xsp:1692510:30737323:BEGIN_ARRAY 67 25609
codes_300ast_20100725.xsp:1718153:31201563:END_ARRAY 67 25609
codes_300ast_20100725.xsp:1718154:31201582:BEGIN_ARRAY 68 25609
codes_300ast_20100725.xsp:1743797:31667043:END_ARRAY 68 25609
codes_300ast_20100725.xsp:1743798:31667062:BEGIN_ARRAY 69 25609
codes_300ast_20100725.xsp:1769441:32132815:END_ARRAY 69 25609
codes_300ast_20100725.xsp:1769442:32132834:BEGIN_ARRAY 70 25609
codes_300ast_20100725.xsp:1795085:32598441:END_ARRAY 70 25609
codes_300ast_20100725.xsp:1795086:32598460:BEGIN_ARRAY 71 25609
codes_300ast_20100725.xsp:1820729:33063849:END_ARRAY 71 25609
codes_300ast_20100725.xsp:1820730:33063868:BEGIN_ARRAY 72 25609
codes_300ast_20100725.xsp:1846373:33529600:END_ARRAY 72 25609
codes_300ast_20100725.xsp:1846374:33529619:BEGIN_ARRAY 73 25609
codes_300ast_20100725.xsp:1872017:33995345:END_ARRAY 73 25609
codes_300ast_20100725.xsp:1872018:33995364:BEGIN_ARRAY 74 25609
codes_300ast_20100725.xsp:1897661:34460910:END_ARRAY 74 25609
codes_300ast_20100725.xsp:1897662:34460929:BEGIN_ARRAY 75 25609
codes_300ast_20100725.xsp:1923305:34927482:END_ARRAY 75 25609
codes_300ast_20100725.xsp:1923306:34927501:BEGIN_ARRAY 76 25609
codes_300ast_20100725.xsp:1948949:35393080:END_ARRAY 76 25609
codes_300ast_20100725.xsp:1948950:35393099:BEGIN_ARRAY 77 25609
codes_300ast_20100725.xsp:1974593:35859129:END_ARRAY 77 25609
codes_300ast_20100725.xsp:1974594:35859148:BEGIN_ARRAY 78 25609
codes_300ast_20100725.xsp:2000237:36323987:END_ARRAY 78 25609
codes_300ast_20100725.xsp:2000238:36324006:BEGIN_ARRAY 79 25609
codes_300ast_20100725.xsp:2025881:36789229:END_ARRAY 79 25609
codes_300ast_20100725.xsp:2025882:36789248:BEGIN_ARRAY 80 25609
codes_300ast_20100725.xsp:2051525:37254966:END_ARRAY 80 25609
codes_300ast_20100725.xsp:2051526:37254985:BEGIN_ARRAY 81 25609
codes_300ast_20100725.xsp:2077169:37721365:END_ARRAY 81 25609
codes_300ast_20100725.xsp:2077170:37721384:BEGIN_ARRAY 82 25609
codes_300ast_20100725.xsp:2102813:38187386:END_ARRAY 82 25609
codes_300ast_20100725.xsp:2102814:38187405:BEGIN_ARRAY 83 25609
codes_300ast_20100725.xsp:2128457:38653440:END_ARRAY 83 25609
codes_300ast_20100725.xsp:2128458:38653459:BEGIN_ARRAY 84 25609
codes_300ast_20100725.xsp:2154101:39118812:END_ARRAY 84 25609
codes_300ast_20100725.xsp:2154102:39118831:BEGIN_ARRAY 85 25609
codes_300ast_20100725.xsp:2179745:39584862:END_ARRAY 85 25609
codes_300ast_20100725.xsp:2179746:39584881:BEGIN_ARRAY 86 25609
codes_300ast_20100725.xsp:2205389:40051153:END_ARRAY 86 25609
codes_300ast_20100725.xsp:2205390:40051172:BEGIN_ARRAY 87 25609
codes_300ast_20100725.xsp:2231033:40517589:END_ARRAY 87 25609
codes_300ast_20100725.xsp:2231034:40517608:BEGIN_ARRAY 88 25609
codes_300ast_20100725.xsp:2256677:40982716:END_ARRAY 88 25609
codes_300ast_20100725.xsp:2256678:40982735:BEGIN_ARRAY 89 25609
codes_300ast_20100725.xsp:2282321:41448714:END_ARRAY 89 25609
codes_300ast_20100725.xsp:2282322:41448733:BEGIN_ARRAY 90 25609
codes_300ast_20100725.xsp:2307965:41915001:END_ARRAY 90 25609
codes_300ast_20100725.xsp:2307966:41915020:BEGIN_ARRAY 91 25609
codes_300ast_20100725.xsp:2333609:42380715:END_ARRAY 91 25609
codes_300ast_20100725.xsp:2333610:42380734:BEGIN_ARRAY 92 25609
codes_300ast_20100725.xsp:2359253:42844999:END_ARRAY 92 25609
codes_300ast_20100725.xsp:2359254:42845018:BEGIN_ARRAY 93 25609
codes_300ast_20100725.xsp:2384897:43310852:END_ARRAY 93 25609
codes_300ast_20100725.xsp:2384898:43310871:BEGIN_ARRAY 94 25609
codes_300ast_20100725.xsp:2410541:43775757:END_ARRAY 94 25609
codes_300ast_20100725.xsp:2410542:43775776:BEGIN_ARRAY 95 25609
codes_300ast_20100725.xsp:2436185:44242711:END_ARRAY 95 25609
codes_300ast_20100725.xsp:2436186:44242730:BEGIN_ARRAY 96 25609
codes_300ast_20100725.xsp:2461829:44709801:END_ARRAY 96 25609
