# the byte and line start/end positions of each array in several xsp files
# (useful for seeking)
codes_300ast_20100725.xsp:4718501:85699325:END_ARRAY 184 25609
codes_300ast_20100725.xsp:4718502:85699345:BEGIN_ARRAY 185 25609
codes_300ast_20100725.xsp:4744145:86165289:END_ARRAY 185 25609
codes_300ast_20100725.xsp:4744146:86165309:BEGIN_ARRAY 186 25609
codes_300ast_20100725.xsp:4769789:86631418:END_ARRAY 186 25609
codes_300ast_20100725.xsp:4769790:86631438:BEGIN_ARRAY 187 25609
codes_300ast_20100725.xsp:4795433:87097364:END_ARRAY 187 25609
codes_300ast_20100725.xsp:4795434:87097384:BEGIN_ARRAY 188 25609
codes_300ast_20100725.xsp:4821077:87563497:END_ARRAY 188 25609
codes_300ast_20100725.xsp:4821078:87563517:BEGIN_ARRAY 189 25609
codes_300ast_20100725.xsp:4846721:88029725:END_ARRAY 189 25609
codes_300ast_20100725.xsp:4846722:88029745:BEGIN_ARRAY 190 25609
codes_300ast_20100725.xsp:4872365:88494609:END_ARRAY 190 25609
codes_300ast_20100725.xsp:4872366:88494629:BEGIN_ARRAY 191 25609
codes_300ast_20100725.xsp:4898009:88960406:END_ARRAY 191 25609
codes_300ast_20100725.xsp:4898010:88960426:BEGIN_ARRAY 192 25609
codes_300ast_20100725.xsp:4923653:89425160:END_ARRAY 192 25609
codes_300ast_20100725.xsp:4923654:89425180:BEGIN_ARRAY 193 25609
codes_300ast_20100725.xsp:4949297:89890643:END_ARRAY 193 25609
codes_300ast_20100725.xsp:4949298:89890663:BEGIN_ARRAY 194 25609
codes_300ast_20100725.xsp:4974941:90356243:END_ARRAY 194 25609
codes_300ast_20100725.xsp:4974942:90356263:BEGIN_ARRAY 195 25609
codes_300ast_20100725.xsp:5000585:90821615:END_ARRAY 195 25609
codes_300ast_20100725.xsp:5000586:90821635:BEGIN_ARRAY 196 25609
codes_300ast_20100725.xsp:5026229:91286729:END_ARRAY 196 25609
codes_300ast_20100725.xsp:5026230:91286749:BEGIN_ARRAY 197 25609
codes_300ast_20100725.xsp:5051873:91752559:END_ARRAY 197 25609
codes_300ast_20100725.xsp:5051874:91752579:BEGIN_ARRAY 198 25609
codes_300ast_20100725.xsp:5077517:92217041:END_ARRAY 198 25609
codes_300ast_20100725.xsp:5077518:92217061:BEGIN_ARRAY 199 25609
codes_300ast_20100725.xsp:5103161:92682460:END_ARRAY 199 25609
codes_300ast_20100725.xsp:5103162:92682480:BEGIN_ARRAY 200 25609
codes_300ast_20100725.xsp:5128805:93146403:END_ARRAY 200 25609
codes_300ast_20100725.xsp:5128806:93146423:BEGIN_ARRAY 201 25609
codes_300ast_20100725.xsp:5154449:93612306:END_ARRAY 201 25609
codes_300ast_20100725.xsp:5154450:93612326:BEGIN_ARRAY 202 25609
codes_300ast_20100725.xsp:5180093:94078443:END_ARRAY 202 25609
codes_300ast_20100725.xsp:5180094:94078463:BEGIN_ARRAY 203 25609
codes_300ast_20100725.xsp:5205737:94544577:END_ARRAY 203 25609
codes_300ast_20100725.xsp:5205738:94544597:BEGIN_ARRAY 204 25609
codes_300ast_20100725.xsp:5231381:95009862:END_ARRAY 204 25609
codes_300ast_20100725.xsp:5231382:95009882:BEGIN_ARRAY 205 25609
codes_300ast_20100725.xsp:5257025:95475462:END_ARRAY 205 25609
codes_300ast_20100725.xsp:5257026:95475482:BEGIN_ARRAY 206 25609
codes_300ast_20100725.xsp:5282669:95940513:END_ARRAY 206 25609
codes_300ast_20100725.xsp:5282670:95940533:BEGIN_ARRAY 207 25609
codes_300ast_20100725.xsp:5308313:96406015:END_ARRAY 207 25609
codes_300ast_20100725.xsp:5308314:96406035:BEGIN_ARRAY 208 25609
codes_300ast_20100725.xsp:5333957:96871571:END_ARRAY 208 25609
codes_300ast_20100725.xsp:5333958:96871591:BEGIN_ARRAY 209 25609
codes_300ast_20100725.xsp:5359601:97337472:END_ARRAY 209 25609
codes_300ast_20100725.xsp:5359602:97337492:BEGIN_ARRAY 210 25609
codes_300ast_20100725.xsp:5385245:97803916:END_ARRAY 210 25609
codes_300ast_20100725.xsp:5385246:97803936:BEGIN_ARRAY 211 25609
codes_300ast_20100725.xsp:5410889:98269594:END_ARRAY 211 25609
codes_300ast_20100725.xsp:5410890:98269614:BEGIN_ARRAY 212 25609
codes_300ast_20100725.xsp:5436533:98734389:END_ARRAY 212 25609
codes_300ast_20100725.xsp:5436534:98734409:BEGIN_ARRAY 213 25609
codes_300ast_20100725.xsp:5462177:99198842:END_ARRAY 213 25609
codes_300ast_20100725.xsp:5462178:99198862:BEGIN_ARRAY 214 25609
codes_300ast_20100725.xsp:5487821:99664555:END_ARRAY 214 25609
codes_300ast_20100725.xsp:5487822:99664575:BEGIN_ARRAY 215 25609
codes_300ast_20100725.xsp:5513465:100129193:END_ARRAY 215 25609
codes_300ast_20100725.xsp:5513466:100129213:BEGIN_ARRAY 216 25609
codes_300ast_20100725.xsp:5539109:100594988:END_ARRAY 216 25609
codes_300ast_20100725.xsp:5539110:100595008:BEGIN_ARRAY 217 25609
codes_300ast_20100725.xsp:5564753:101061147:END_ARRAY 217 25609
codes_300ast_20100725.xsp:5564754:101061167:BEGIN_ARRAY 218 25609
codes_300ast_20100725.xsp:5590397:101527409:END_ARRAY 218 25609
codes_300ast_20100725.xsp:5590398:101527429:BEGIN_ARRAY 219 25609
codes_300ast_20100725.xsp:5616041:101994423:END_ARRAY 219 25609
codes_300ast_20100725.xsp:5616042:101994443:BEGIN_ARRAY 220 25609
codes_300ast_20100725.xsp:5641685:102460400:END_ARRAY 220 25609
codes_300ast_20100725.xsp:5641686:102460420:BEGIN_ARRAY 221 25609
codes_300ast_20100725.xsp:5667329:102926284:END_ARRAY 221 25609
codes_300ast_20100725.xsp:5667330:102926304:BEGIN_ARRAY 222 25609
codes_300ast_20100725.xsp:5692973:103391627:END_ARRAY 222 25609
codes_300ast_20100725.xsp:5692974:103391647:BEGIN_ARRAY 223 25609
codes_300ast_20100725.xsp:5718617:103857531:END_ARRAY 223 25609
codes_300ast_20100725.xsp:5718618:103857551:BEGIN_ARRAY 224 25609
codes_300ast_20100725.xsp:5744261:104322355:END_ARRAY 224 25609
codes_300ast_20100725.xsp:5744262:104322375:BEGIN_ARRAY 225 25609
codes_300ast_20100725.xsp:5769905:104788610:END_ARRAY 225 25609
codes_300ast_20100725.xsp:5769906:104788630:BEGIN_ARRAY 226 25609
codes_300ast_20100725.xsp:5795549:105254510:END_ARRAY 226 25609
codes_300ast_20100725.xsp:5795550:105254530:BEGIN_ARRAY 227 25609
codes_300ast_20100725.xsp:5821193:105720776:END_ARRAY 227 25609
codes_300ast_20100725.xsp:5821194:105720796:BEGIN_ARRAY 228 25609
codes_300ast_20100725.xsp:5846837:106186897:END_ARRAY 228 25609
codes_300ast_20100725.xsp:5846838:106186917:BEGIN_ARRAY 229 25609
codes_300ast_20100725.xsp:5872481:106652883:END_ARRAY 229 25609
codes_300ast_20100725.xsp:5872482:106652903:BEGIN_ARRAY 230 25609
codes_300ast_20100725.xsp:5898125:107118807:END_ARRAY 230 25609
codes_300ast_20100725.xsp:5898126:107118827:BEGIN_ARRAY 231 25609
codes_300ast_20100725.xsp:5923769:107583918:END_ARRAY 231 25609
codes_300ast_20100725.xsp:5923770:107583938:BEGIN_ARRAY 232 25609
codes_300ast_20100725.xsp:5949413:108048414:END_ARRAY 232 25609
codes_300ast_20100725.xsp:5949414:108048434:BEGIN_ARRAY 233 25609
codes_300ast_20100725.xsp:5975057:108513940:END_ARRAY 233 25609
codes_300ast_20100725.xsp:5975058:108513960:BEGIN_ARRAY 234 25609
codes_300ast_20100725.xsp:6000701:108979430:END_ARRAY 234 25609
codes_300ast_20100725.xsp:6000702:108979450:BEGIN_ARRAY 235 25609
codes_300ast_20100725.xsp:6026345:109444086:END_ARRAY 235 25609
codes_300ast_20100725.xsp:6026346:109444106:BEGIN_ARRAY 236 25609
codes_300ast_20100725.xsp:6051989:109910133:END_ARRAY 236 25609
codes_300ast_20100725.xsp:6051990:109910153:BEGIN_ARRAY 237 25609
codes_300ast_20100725.xsp:6077633:110376982:END_ARRAY 237 25609
codes_300ast_20100725.xsp:6077634:110377002:BEGIN_ARRAY 238 25609
codes_300ast_20100725.xsp:6103277:110842742:END_ARRAY 238 25609
codes_300ast_20100725.xsp:6103278:110842762:BEGIN_ARRAY 239 25609
codes_300ast_20100725.xsp:6128921:111307925:END_ARRAY 239 25609
codes_300ast_20100725.xsp:6128922:111307945:BEGIN_ARRAY 240 25609
codes_300ast_20100725.xsp:6154565:111773883:END_ARRAY 240 25609
codes_300ast_20100725.xsp:6154566:111773903:BEGIN_ARRAY 241 25609
codes_300ast_20100725.xsp:6180209:112239637:END_ARRAY 241 25609
codes_300ast_20100725.xsp:6180210:112239657:BEGIN_ARRAY 242 25609
codes_300ast_20100725.xsp:6205853:112705613:END_ARRAY 242 25609
codes_300ast_20100725.xsp:6205854:112705633:BEGIN_ARRAY 243 25609
codes_300ast_20100725.xsp:6231497:113171116:END_ARRAY 243 25609
codes_300ast_20100725.xsp:6231498:113171136:BEGIN_ARRAY 244 25609
codes_300ast_20100725.xsp:6257141:113637403:END_ARRAY 244 25609
codes_300ast_20100725.xsp:6257142:113637423:BEGIN_ARRAY 245 25609
codes_300ast_20100725.xsp:6282785:114102443:END_ARRAY 245 25609
codes_300ast_20100725.xsp:6282786:114102463:BEGIN_ARRAY 246 25609
codes_300ast_20100725.xsp:6308429:114568053:END_ARRAY 246 25609
codes_300ast_20100725.xsp:6308430:114568073:BEGIN_ARRAY 247 25609
codes_300ast_20100725.xsp:6334073:115034244:END_ARRAY 247 25609
codes_300ast_20100725.xsp:6334074:115034264:BEGIN_ARRAY 248 25609
codes_300ast_20100725.xsp:6359717:115498745:END_ARRAY 248 25609
codes_300ast_20100725.xsp:6359718:115498765:BEGIN_ARRAY 249 25609
codes_300ast_20100725.xsp:6385361:115963809:END_ARRAY 249 25609
codes_300ast_20100725.xsp:6385362:115963829:BEGIN_ARRAY 250 25609
codes_300ast_20100725.xsp:6411005:116428184:END_ARRAY 250 25609
codes_300ast_20100725.xsp:6411006:116428204:BEGIN_ARRAY 251 25609
codes_300ast_20100725.xsp:6436649:116892968:END_ARRAY 251 25609
codes_300ast_20100725.xsp:6436650:116892988:BEGIN_ARRAY 252 25609
codes_300ast_20100725.xsp:6462293:117358633:END_ARRAY 252 25609
codes_300ast_20100725.xsp:6462294:117358653:BEGIN_ARRAY 253 25609
codes_300ast_20100725.xsp:6487937:117825227:END_ARRAY 253 25609
codes_300ast_20100725.xsp:6487938:117825247:BEGIN_ARRAY 254 25609
codes_300ast_20100725.xsp:6513581:118291729:END_ARRAY 254 25609
codes_300ast_20100725.xsp:6513582:118291749:BEGIN_ARRAY 255 25609
codes_300ast_20100725.xsp:6539225:118756420:END_ARRAY 255 25609
codes_300ast_20100725.xsp:6539226:118756440:BEGIN_ARRAY 256 25609
codes_300ast_20100725.xsp:6564869:119223005:END_ARRAY 256 25609
codes_300ast_20100725.xsp:6564870:119223025:BEGIN_ARRAY 257 25609
codes_300ast_20100725.xsp:6590513:119688825:END_ARRAY 257 25609
codes_300ast_20100725.xsp:6590514:119688845:BEGIN_ARRAY 258 25609
codes_300ast_20100725.xsp:6616157:120154484:END_ARRAY 258 25609
codes_300ast_20100725.xsp:6616158:120154504:BEGIN_ARRAY 259 25609
codes_300ast_20100725.xsp:6641801:120619933:END_ARRAY 259 25609
codes_300ast_20100725.xsp:6641802:120619953:BEGIN_ARRAY 260 25609
codes_300ast_20100725.xsp:6667445:121086193:END_ARRAY 260 25609
codes_300ast_20100725.xsp:6667446:121086213:BEGIN_ARRAY 261 25609
codes_300ast_20100725.xsp:6693089:121551407:END_ARRAY 261 25609
codes_300ast_20100725.xsp:6693090:121551427:BEGIN_ARRAY 262 25609
codes_300ast_20100725.xsp:6718733:122016862:END_ARRAY 262 25609
codes_300ast_20100725.xsp:6718734:122016882:BEGIN_ARRAY 263 25609
codes_300ast_20100725.xsp:6744377:122482468:END_ARRAY 263 25609
codes_300ast_20100725.xsp:6744378:122482488:BEGIN_ARRAY 264 25609
codes_300ast_20100725.xsp:6770021:122948160:END_ARRAY 264 25609
codes_300ast_20100725.xsp:6770022:122948180:BEGIN_ARRAY 265 25609
codes_300ast_20100725.xsp:6795665:123413446:END_ARRAY 265 25609
codes_300ast_20100725.xsp:6795666:123413466:BEGIN_ARRAY 266 25609
codes_300ast_20100725.xsp:6821309:123879620:END_ARRAY 266 25609
codes_300ast_20100725.xsp:6821310:123879640:BEGIN_ARRAY 267 25609
codes_300ast_20100725.xsp:6846953:124345262:END_ARRAY 267 25609
codes_300ast_20100725.xsp:6846954:124345282:BEGIN_ARRAY 268 25609
codes_300ast_20100725.xsp:6872597:124810630:END_ARRAY 268 25609
codes_300ast_20100725.xsp:6872598:124810650:BEGIN_ARRAY 269 25609
codes_300ast_20100725.xsp:6898241:125276676:END_ARRAY 269 25609
codes_300ast_20100725.xsp:6898242:125276696:BEGIN_ARRAY 270 25609
codes_300ast_20100725.xsp:6923885:125743503:END_ARRAY 270 25609
codes_300ast_20100725.xsp:6923886:125743523:BEGIN_ARRAY 271 25609
codes_300ast_20100725.xsp:6949529:126209914:END_ARRAY 271 25609
codes_300ast_20100725.xsp:6949530:126209934:BEGIN_ARRAY 272 25609
codes_300ast_20100725.xsp:6975173:126674351:END_ARRAY 272 25609
codes_300ast_20100725.xsp:6975174:126674371:BEGIN_ARRAY 273 25609
codes_300ast_20100725.xsp:7000817:127139937:END_ARRAY 273 25609
codes_300ast_20100725.xsp:7000818:127139957:BEGIN_ARRAY 274 25609
codes_300ast_20100725.xsp:7026461:127605719:END_ARRAY 274 25609
codes_300ast_20100725.xsp:7026462:127605739:BEGIN_ARRAY 275 25609
codes_300ast_20100725.xsp:7052105:128071003:END_ARRAY 275 25609
codes_300ast_20100725.xsp:7052106:128071023:BEGIN_ARRAY 276 25609
codes_300ast_20100725.xsp:7077749:128536078:END_ARRAY 276 25609
codes_300ast_20100725.xsp:7077750:128536098:BEGIN_ARRAY 277 25609
codes_300ast_20100725.xsp:7103393:129001883:END_ARRAY 277 25609
codes_300ast_20100725.xsp:7103394:129001903:BEGIN_ARRAY 278 25609
codes_300ast_20100725.xsp:7129037:129466790:END_ARRAY 278 25609
codes_300ast_20100725.xsp:7129038:129466810:BEGIN_ARRAY 279 25609
codes_300ast_20100725.xsp:7154681:129933180:END_ARRAY 279 25609
codes_300ast_20100725.xsp:7154682:129933200:BEGIN_ARRAY 280 25609
codes_300ast_20100725.xsp:7180325:130398007:END_ARRAY 280 25609
codes_300ast_20100725.xsp:7180326:130398027:BEGIN_ARRAY 281 25609
codes_300ast_20100725.xsp:7205969:130864025:END_ARRAY 281 25609
codes_300ast_20100725.xsp:7205970:130864045:BEGIN_ARRAY 282 25609
codes_300ast_20100725.xsp:7231613:131329013:END_ARRAY 282 25609
codes_300ast_20100725.xsp:7231614:131329033:BEGIN_ARRAY 283 25609
codes_300ast_20100725.xsp:7257257:131794876:END_ARRAY 283 25609
codes_300ast_20100725.xsp:7257258:131794896:BEGIN_ARRAY 284 25609
codes_300ast_20100725.xsp:7282901:132260758:END_ARRAY 284 25609
codes_300ast_20100725.xsp:7282902:132260778:BEGIN_ARRAY 285 25609
codes_300ast_20100725.xsp:7308545:132726576:END_ARRAY 285 25609
codes_300ast_20100725.xsp:7308546:132726596:BEGIN_ARRAY 286 25609
codes_300ast_20100725.xsp:7334189:133192095:END_ARRAY 286 25609
codes_300ast_20100725.xsp:7334190:133192115:BEGIN_ARRAY 287 25609
codes_300ast_20100725.xsp:7359833:133658696:END_ARRAY 287 25609
codes_300ast_20100725.xsp:7359834:133658716:BEGIN_ARRAY 288 25609
codes_300ast_20100725.xsp:7385477:134124605:END_ARRAY 288 25609
codes_300ast_20100725.xsp:7385478:134124625:BEGIN_ARRAY 289 25609
codes_300ast_20100725.xsp:7411121:134590176:END_ARRAY 289 25609
codes_300ast_20100725.xsp:7411122:134590196:BEGIN_ARRAY 290 25609
codes_300ast_20100725.xsp:7436765:135055550:END_ARRAY 290 25609
codes_300ast_20100725.xsp:7436766:135055570:BEGIN_ARRAY 291 25609
codes_300ast_20100725.xsp:7462409:135520922:END_ARRAY 291 25609
codes_300ast_20100725.xsp:7462410:135520942:BEGIN_ARRAY 292 25609
codes_300ast_20100725.xsp:7488053:135985557:END_ARRAY 292 25609
codes_300ast_20100725.xsp:7488054:135985577:BEGIN_ARRAY 293 25609
codes_300ast_20100725.xsp:7513697:136451254:END_ARRAY 293 25609
codes_300ast_20100725.xsp:7513698:136451274:BEGIN_ARRAY 294 25609
codes_300ast_20100725.xsp:7539341:136917423:END_ARRAY 294 25609
codes_300ast_20100725.xsp:7539342:136917443:BEGIN_ARRAY 295 25609
codes_300ast_20100725.xsp:7564985:137382504:END_ARRAY 295 25609
codes_300ast_20100725.xsp:7564986:137382524:BEGIN_ARRAY 296 25609
codes_300ast_20100725.xsp:7590629:137848279:END_ARRAY 296 25609
codes_300ast_20100725.xsp:7590630:137848299:BEGIN_ARRAY 297 25609
codes_300ast_20100725.xsp:7616273:138313904:END_ARRAY 297 25609
codes_300ast_20100725.xsp:7616274:138313924:BEGIN_ARRAY 298 25609
codes_300ast_20100725.xsp:7641917:138779818:END_ARRAY 298 25609
codes_300ast_20100725.xsp:7641918:138779838:BEGIN_ARRAY 299 25609
codes_300ast_20100725.xsp:7667561:139245408:END_ARRAY 299 25609
codes_300ast_20100725.xsp:7667562:139245428:BEGIN_ARRAY 300 25609
codes_300ast_20100725.xsp:7693205:139711434:END_ARRAY 300 25609
de430.xsp:6:120:BEGIN_ARRAY 1 2209860
de430.xsp:2212033:42622344:END_ARRAY 1 2209860
de430.xsp:2212034:42622364:BEGIN_ARRAY 2 803588
de430.xsp:3016415:57896414:END_ARRAY 2 803588
de430.xsp:3016416:57896433:BEGIN_ARRAY 3 1029596
de430.xsp:4047026:77810065:END_ARRAY 3 1029596
de430.xsp:4047027:77810085:BEGIN_ARRAY 4 439464
de430.xsp:4486929:86235438:END_ARRAY 4 439464
de430.xsp:4486930:86235457:BEGIN_ARRAY 5 326460
de430.xsp:4813717:92428671:END_ARRAY 5 326460
de430.xsp:4813718:92428690:BEGIN_ARRAY 6 288792
de430.xsp:5102801:97894030:END_ARRAY 6 288792
de430.xsp:5102802:97894049:BEGIN_ARRAY 7 251124
de430.xsp:5354180:102596684:END_ARRAY 7 251124
de430.xsp:5354181:102596703:BEGIN_ARRAY 8 251124
de430.xsp:5605559:107294103:END_ARRAY 8 251124
de430.xsp:5605560:107294122:BEGIN_ARRAY 9 251124
de430.xsp:5856938:112002968:END_ARRAY 9 251124
de430.xsp:5856939:112002987:BEGIN_ARRAY 10 878924
de430.xsp:6736730:129038419:END_ARRAY 10 878924
de430.xsp:6736731:129038439:BEGIN_ARRAY 11 4118372
de430.xsp:10859133:208596706:END_ARRAY 11 4118372
de430.xsp:10859134:208596727:BEGIN_ARRAY 12 4118372
de430.xsp:14981536:288474137:END_ARRAY 12 4118372
de430.xsp:14981537:288474158:BEGIN_ARRAY 13 12
de430.xsp:14981558:288474362:END_ARRAY 13 12
de430.xsp:14981559:288474378:BEGIN_ARRAY 14 12
de430.xsp:14981580:288474583:END_ARRAY 14 12
de431_part-1.xsp:6:120:BEGIN_ARRAY 1 12
de431_part-1.xsp:27:338:END_ARRAY 1 12
de431_part-1.xsp:28:353:BEGIN_ARRAY 2 12
de431_part-1.xsp:49:570:END_ARRAY 2 12
de431_part-1.xsp:50:585:BEGIN_ARRAY 3 49419805
de431_part-1.xsp:49468125:960667101:END_ARRAY 3 49419805
de431_part-1.xsp:49468126:960667122:BEGIN_ARRAY 4 49419805
de431_part-1.xsp:98936201:1917580905:END_ARRAY 4 49419805
de431_part-1.xsp:98936202:1917580926:BEGIN_ARRAY 5 10546939
de431_part-1.xsp:109493449:2122532821:END_ARRAY 5 10546939
de431_part-1.xsp:109493450:2122532842:BEGIN_ARRAY 6 3013424
de431_part-1.xsp:112509825:2179313993:END_ARRAY 6 3013424
de431_part-1.xsp:112509826:2179314013:BEGIN_ARRAY 7 3013424
de431_part-1.xsp:115526201:2235951347:END_ARRAY 7 3013424
de431_part-1.xsp:115526202:2235951367:BEGIN_ARRAY 8 3013424
de431_part-1.xsp:118542577:2292655727:END_ARRAY 8 3013424
de431_part-1.xsp:118542578:2292655747:BEGIN_ARRAY 9 3465437
de431_part-1.xsp:122011408:2358568211:END_ARRAY 9 3465437
de431_part-1.xsp:122011409:2358568231:BEGIN_ARRAY 10 3917450
de431_part-1.xsp:125932693:2433137298:END_ARRAY 10 3917450
de431_part-1.xsp:125932694:2433137319:BEGIN_ARRAY 11 5273489
de431_part-1.xsp:131211341:2534502284:END_ARRAY 11 5273489
de431_part-1.xsp:131211342:2534502305:BEGIN_ARRAY 12 12354985
de431_part-1.xsp:143578401:2773959520:END_ARRAY 12 12354985
de431_part-1.xsp:143578402:2773959542:BEGIN_ARRAY 13 9642916
de431_part-1.xsp:153230743:2957849810:END_ARRAY 13 9642916
de431_part-1.xsp:153230744:2957849831:BEGIN_ARRAY 14 26517968
de431_part-1.xsp:179774617:3470489431:END_ARRAY 14 26517968
de431_part-2.xsp:6:120:BEGIN_ARRAY 1 12
de431_part-2.xsp:27:338:END_ARRAY 1 12
de431_part-2.xsp:28:353:BEGIN_ARRAY 2 12
de431_part-2.xsp:49:570:END_ARRAY 2 12
de431_part-2.xsp:50:585:BEGIN_ARRAY 3 64355449
de431_part-2.xsp:64418355:1249328197:END_ARRAY 3 64355449
de431_part-2.xsp:64418356:1249328218:BEGIN_ARRAY 4 64355449
de431_part-2.xsp:128836661:2493635341:END_ARRAY 4 64355449
de431_part-2.xsp:128836662:2493635362:BEGIN_ARRAY 5 13734424
de431_part-2.xsp:142584507:2760196282:END_ARRAY 5 13734424
de431_part-2.xsp:142584508:2760196303:BEGIN_ARRAY 6 3924124
de431_part-2.xsp:146512473:2833911865:END_ARRAY 6 3924124
de431_part-2.xsp:146512474:2833911885:BEGIN_ARRAY 7 3924124
de431_part-2.xsp:150440439:2907444276:END_ARRAY 7 3924124
de431_part-2.xsp:150440440:2907444296:BEGIN_ARRAY 8 3924124
de431_part-2.xsp:154368405:2981063333:END_ARRAY 8 3924124
de431_part-2.xsp:154368406:2981063353:BEGIN_ARRAY 9 4512742
de431_part-2.xsp:158885563:3066607273:END_ARRAY 9 4512742
de431_part-2.xsp:158885564:3066607293:BEGIN_ARRAY 10 5101360
de431_part-2.xsp:163991914:3163543864:END_ARRAY 10 5101360
de431_part-2.xsp:163991915:3163543885:BEGIN_ARRAY 11 6867214
de431_part-2.xsp:170865844:3295356022:END_ARRAY 11 6867214
de431_part-2.xsp:170865845:3295356043:BEGIN_ARRAY 12 16088896
de431_part-2.xsp:186970461:3606823589:END_ARRAY 12 16088896
de431_part-2.xsp:186970462:3606823611:BEGIN_ARRAY 13 12557188
de431_part-2.xsp:199539921:3845712431:END_ARRAY 13 12557188
de431_part-2.xsp:199539922:3845712453:BEGIN_ARRAY 14 34532216
de431_part-2.xsp:234105869:4512200485:END_ARRAY 14 34532216
ison.xsp:6:120:BEGIN_ARRAY 1 2089
ison.xsp:2106:35775:END_ARRAY 1 2089
ison.xsp:2107:35792:BEGIN_ARRAY 2 5473
ison.xsp:7594:136084:END_ARRAY 2 5473
jup300.xsp:6:120:BEGIN_ARRAY 1 397688
jup300.xsp:398091:6771503:END_ARRAY 1 397688
jup300.xsp:398092:6771522:BEGIN_ARRAY 2 397688
jup300.xsp:796177:13538774:END_ARRAY 2 397688
jup300.xsp:796178:13538793:BEGIN_ARRAY 3 397688
jup300.xsp:1194263:20127407:END_ARRAY 3 397688
jup300.xsp:1194264:20127426:BEGIN_ARRAY 4 397688
jup300.xsp:1592349:26723684:END_ARRAY 4 397688
jup300.xsp:1592350:26723703:BEGIN_ARRAY 5 397688
jup300.xsp:1990435:33483776:END_ARRAY 5 397688
jup300.xsp:1990436:33483795:BEGIN_ARRAY 6 397688
jup300.xsp:2388521:40082969:END_ARRAY 6 397688
jup300.xsp:2388522:40082988:BEGIN_ARRAY 7 397688
jup300.xsp:2786607:46700266:END_ARRAY 7 397688
jup300.xsp:2786608:46700285:BEGIN_ARRAY 8 397688
jup300.xsp:3184693:53481417:END_ARRAY 8 397688
jup300.xsp:3184694:53481436:BEGIN_ARRAY 9 198846
jup300.xsp:3383743:56816961:END_ARRAY 9 198846
jup300.xsp:3383744:56816980:BEGIN_ARRAY 10 397688
jup300.xsp:3781829:63709380:END_ARRAY 10 397688
jup300.xsp:3781830:63709400:BEGIN_ARRAY 11 198846
jup300.xsp:3980879:67052795:END_ARRAY 11 198846
jup300.xsp:3980880:67052815:BEGIN_ARRAY 12 198846
jup300.xsp:4179929:70397148:END_ARRAY 12 198846
jup300.xsp:4179930:70397168:BEGIN_ARRAY 13 198846
jup300.xsp:4378979:73737086:END_ARRAY 13 198846
jup300.xsp:4378980:73737106:BEGIN_ARRAY 14 198846
jup300.xsp:4578029:77091046:END_ARRAY 14 198846
jup300.xsp:4578030:77091066:BEGIN_ARRAY 15 198846
jup300.xsp:4777079:80430297:END_ARRAY 15 198846
jup300.xsp:4777080:80430317:BEGIN_ARRAY 16 198846
jup300.xsp:4976129:83783155:END_ARRAY 16 198846
jup300.xsp:4976130:83783175:BEGIN_ARRAY 17 198846
jup300.xsp:5175179:87125761:END_ARRAY 17 198846
jup300.xsp:5175180:87125781:BEGIN_ARRAY 18 198846
jup300.xsp:5374229:90470996:END_ARRAY 18 198846
jup300.xsp:5374230:90471016:BEGIN_ARRAY 19 198846
jup300.xsp:5573279:93827560:END_ARRAY 19 198846
jup300.xsp:5573280:93827580:BEGIN_ARRAY 20 198846
jup300.xsp:5772329:97162533:END_ARRAY 20 198846
jup300.xsp:5772330:97162553:BEGIN_ARRAY 21 198846
jup300.xsp:5971379:100517012:END_ARRAY 21 198846
jup300.xsp:5971380:100517032:BEGIN_ARRAY 22 198846
jup300.xsp:6170429:103873728:END_ARRAY 22 198846
jup300.xsp:6170430:103873748:BEGIN_ARRAY 23 198846
jup300.xsp:6369479:107214041:END_ARRAY 23 198846
jup300.xsp:6369480:107214061:BEGIN_ARRAY 24 198846
jup300.xsp:6568529:110558111:END_ARRAY 24 198846
jup300.xsp:6568530:110558131:BEGIN_ARRAY 25 198846
jup300.xsp:6767579:113914075:END_ARRAY 25 198846
jup300.xsp:6767580:113914095:BEGIN_ARRAY 26 198846
jup300.xsp:6966629:117278760:END_ARRAY 26 198846
jup300.xsp:6966630:117278780:BEGIN_ARRAY 27 198846
jup300.xsp:7165679:120636183:END_ARRAY 27 198846
jup300.xsp:7165680:120636203:BEGIN_ARRAY 28 198846
jup300.xsp:7364729:123977748:END_ARRAY 28 198846
jup300.xsp:7364730:123977768:BEGIN_ARRAY 29 198846
jup300.xsp:7563779:127322699:END_ARRAY 29 198846
jup300.xsp:7563780:127322719:BEGIN_ARRAY 30 198846
jup300.xsp:7762829:130668460:END_ARRAY 30 198846
jup300.xsp:7762830:130668480:BEGIN_ARRAY 31 198846
jup300.xsp:7961879:134008424:END_ARRAY 31 198846
jup300.xsp:7961880:134008444:BEGIN_ARRAY 32 198846
jup300.xsp:8160929:137364842:END_ARRAY 32 198846
jup300.xsp:8160930:137364862:BEGIN_ARRAY 33 198846
jup300.xsp:8359979:140702254:END_ARRAY 33 198846
jup300.xsp:8359980:140702274:BEGIN_ARRAY 34 198846
jup300.xsp:8559029:144056027:END_ARRAY 34 198846
jup300.xsp:8559030:144056047:BEGIN_ARRAY 35 198846
jup300.xsp:8758079:147397201:END_ARRAY 35 198846
jup300.xsp:8758080:147397221:BEGIN_ARRAY 36 198846
