"Distance Finder Calculation"
"Calculation Inputs"
"Calculation type","Distance Event Finder"
"Target","MOON"
"Observer","EARTH"
"Light propagation","No correction"
"Time system","TDB"
"Time format","Seconds past J2000"
"Time range","0 to 3155760000, step 1 hours"
"Coordinate condition","is local maximum"
"Output time unit","seconds"
"Complement result window","no"
"Result interval adjustment","No adjustment"
"Result interval filtering","No filtering"
"Distance Finder Time Intervals"
"Start Time","Stop Time","Duration (secs)"
"     260603.727513","     260603.727513",0.00000000E+00
"    2640030.718474","    2640030.718474",0.00000000E+00
"    5042751.544535","    5042751.544535",0.00000000E+00
"    7449642.766302","    7449642.766302",0.00000000E+00
"    9851187.238250","    9851187.238250",0.00000000E+00
"   12239898.750788","   12239898.750788",0.00000000E+00
"   14605078.498376","   14605078.498376",0.00000000E+00
"   16947219.793470","   16947219.793470",0.00000000E+00
"   19304675.980053","   19304675.980053",0.00000000E+00
"   21688565.374988","   21688565.374988",0.00000000E+00
"   24087804.080890","   24087804.080890",0.00000000E+00
"   26494261.269866","   26494261.269866",0.00000000E+00
"   28899568.087365","   28899568.087365",0.00000000E+00
"   31287952.700233","   31287952.700233",0.00000000E+00
"   33635070.479337","   33635070.479337",0.00000000E+00
"   35977164.773587","   35977164.773587",0.00000000E+00
"   38359518.841770","   38359518.841770",0.00000000E+00
"   40759572.291308","   40759572.291308",0.00000000E+00
"   43162192.839215","   43162192.839215",0.00000000E+00
"   45560879.927441","   45560879.927441",0.00000000E+00
"   47949780.622585","   47949780.622585",0.00000000E+00
"   50317516.799489","   50317516.799489",0.00000000E+00
"   52658794.038447","   52658794.038447",0.00000000E+00
"   55013614.740242","   55013614.740242",0.00000000E+00
"   57399168.705389","   57399168.705389",0.00000000E+00
"   59802382.293653","   59802382.293653",0.00000000E+00
"   62211756.445626","   62211756.445626",0.00000000E+00
"   64615793.733077","   64615793.733077",0.00000000E+00
"   66997296.920930","   66997296.920930",0.00000000E+00
"   69340194.711670","   69340194.711670",0.00000000E+00
"   71688662.501987","   71688662.501987",0.00000000E+00
"   74070893.664504","   74070893.664504",0.00000000E+00
"   76467496.557715","   76467496.557715",0.00000000E+00
"   78867344.362381","   78867344.362381",0.00000000E+00
"   81265464.477701","   81265464.477701",0.00000000E+00
"   83655734.493623","   83655734.493623",0.00000000E+00
"   86023603.546671","   86023603.546671",0.00000000E+00
"   88360851.808633","   88360851.808633",0.00000000E+00
"   90718253.784755","   90718253.784755",0.00000000E+00
"   93110250.834746","   93110250.834746",0.00000000E+00
"   95517816.636717","   95517816.636717",0.00000000E+00
"   97927138.005432","   97927138.005432",0.00000000E+00
"  100326807.901880","  100326807.901880",0.00000000E+00
"  102702631.492500","  102702631.492500",0.00000000E+00
"  105046759.242490","  105046759.242490",0.00000000E+00
"  107399149.432470","  107399149.432470",0.00000000E+00
"  109779883.499950","  109779883.499950",0.00000000E+00
"  112174671.775340","  112174671.775340",0.00000000E+00
"  114574996.715650","  114574996.715650",0.00000000E+00
"  116976188.915970","  116976188.915970",0.00000000E+00
"  119370383.781640","  119370383.781640",0.00000000E+00
"  121737926.146970","  121737926.146970",0.00000000E+00
"  124070698.846010","  124070698.846010",0.00000000E+00
"  126433101.611090","  126433101.611090",0.00000000E+00
"  128829583.582720","  128829583.582720",0.00000000E+00
"  131237099.540950","  131237099.540950",0.00000000E+00
"  133642942.043500","  133642942.043500",0.00000000E+00
"  136038380.504050","  136038380.504050",0.00000000E+00
"  138412887.333970","  138412887.333970",0.00000000E+00
"  140760137.937270","  140760137.937270",0.00000000E+00
"  143111335.310160","  143111335.310160",0.00000000E+00
"  145488874.583720","  145488874.583720",0.00000000E+00
"  147883309.158640","  147883309.158640",0.00000000E+00
"  150286242.682240","  150286242.682240",0.00000000E+00
"  152690971.947110","  152690971.947110",0.00000000E+00
"  155085879.764480","  155085879.764480",0.00000000E+00
"  157446967.037430","  157446967.037430",0.00000000E+00
"  159778445.920600","  159778445.920600",0.00000000E+00
"  162147617.517850","  162147617.517850",0.00000000E+00
"  164544863.995980","  164544863.995980",0.00000000E+00
"  166948906.635860","  166948906.635860",0.00000000E+00
"  169350124.886910","  169350124.886910",0.00000000E+00
"  171742323.365820","  171742323.365820",0.00000000E+00
"  174116416.466710","  174116416.466710",0.00000000E+00
"  176464166.145130","  176464166.145130",0.00000000E+00
"  178814141.389480","  178814141.389480",0.00000000E+00
"  181192854.134920","  181192854.134920",0.00000000E+00
"  183591275.220880","  183591275.220880",0.00000000E+00
"  185998687.054470","  185998687.054470",0.00000000E+00
"  188405416.386530","  188405416.386530",0.00000000E+00
"  190796898.204220","  190796898.204220",0.00000000E+00
"  193150058.627090","  193150058.627090",0.00000000E+00
"  195486365.493160","  195486365.493160",0.00000000E+00
"  197860701.033400","  197860701.033400",0.00000000E+00
"  200256437.702080","  200256437.702080",0.00000000E+00
"  202657249.898320","  202657249.898320",0.00000000E+00
"  205056741.075220","  205056741.075220",0.00000000E+00
"  207450164.228900","  207450164.228900",0.00000000E+00
"  209827367.472910","  209827367.472910",0.00000000E+00
"  212174477.149090","  212174477.149090",0.00000000E+00
"  214522581.987220","  214522581.987220",0.00000000E+00
"  216904870.477010","  216904870.477010",0.00000000E+00
"  219308186.280000","  219308186.280000",0.00000000E+00
"  221718378.784420","  221718378.784420",0.00000000E+00
"  224123975.055560","  224123975.055560",0.00000000E+00
"  226510687.308150","  226510687.308150",0.00000000E+00
"  228861535.191420","  228861535.191420",0.00000000E+00
"  231202609.819400","  231202609.819400",0.00000000E+00
"  233575408.834370","  233575408.834370",0.00000000E+00
"  235967183.617450","  235967183.617450",0.00000000E+00
"  238365830.113860","  238365830.113860",0.00000000E+00
"  240766113.515840","  240766113.515840",0.00000000E+00
"  243162433.940560","  243162433.940560",0.00000000E+00
"  245541150.791050","  245541150.791050",0.00000000E+00
"  247883570.039220","  247883570.039220",0.00000000E+00
"  250232071.199840","  250232071.199840",0.00000000E+00
"  252619597.743450","  252619597.743450",0.00000000E+00
