# This CSV contains the distance of 1513 Bayer catalog stars from the Sun
# Field 1: distance in light years (to 4 decimal places)
# Field 2: Bayer Greek letter (first three letters of Anglicization)
# Field 3: Constellation (abbreviation)
634.5447,Tau,Pav
634.5447,Kap,Pic
623.6253,Zet,CMi
620.0685,Gam,Lyr
618.8918,Pi-1,Dor
618.8918,Mu,CrB
617.7196,Nu,And
613.0751,Del-2,Aps
613.0751,Chi,Aqr
611.9251,Lam,Tel
611.9251,Bet,Ind
610.7790,Psi,Leo
607.3667,Xi,Ori
607.3667,Pi-2,Cnc
607.3667,Del,TrA
606.2379,Tau-6,Ser
605.1133,Eps,Car
603.9926,Sig,Phe
598.4513,Pi,And
594.0912,Omi,Ari
594.0912,Nu-2,CrB
594.0912,Del,Sge
593.0110,Zet,Cas
593.0110,Tau,Phe
589.7938,Chi,Cyg
586.6115,Eta,Hya
586.6115,Eps,Cnc
585.5583,Pi,Sco
583.4634,Psi,Per
582.4213,Iot-1,For
580.3486,Ups,Cap
576.2472,Ups,Sco
576.2472,Lam,Cet
575.2309,Sig,Lup
575.2309,Del-3,CMi
574.2182,Eps,Dor
572.2035,Zet,Cha
572.2035,Kap,Vel
571.2012,Lam,Sco
569.2078,Alp-1,Cap
563.3092,Ome,Pav
563.3092,Iot,Vol
562.3380,Tau,Leo
562.3380,Eps,Vol
560.4055,Kap,Pyx
557.5317,The,CrA
556.5803,Nu,Per
555.6322,Ups-2,Cnc
553.7454,Alp,Sco
550.9391,Phi-3,Cet
549.0843,Xi-2,Lib
549.0843,Gam,Cas
545.4114,Pi,Cap
544.5008,Psi,Vir
544.5008,Nu,Gem
544.5008,Lam,Vel
543.5934,Omi,Ind
538.2112,Eps,Sct
537.3244,Bet,Aqr
532.0651,Pi-1,Gru
531.1985,Kap,Cnc
530.3349,Eps,Nor
529.4741,Rho,Aur
526.0580,Del,Ret
525.2110,Phi,Cen
525.2110,Chi,Oph
523.5247,Alp,Aqr
522.6859,Ups,Aur
521.8496,Mu,Eri
521.0159,Sig-1,UMa
521.0159,Mu-2,Cha
520.1849,Iot-2,Mus
520.1849,Iot,Ari
519.3568,Phi-2,Lup
518.5310,The-1,Sgr
517.7081,Tau-2,Hya
516.0695,Nu,Ori
516.0695,Del,Per
514.4416,The,Hyi
514.4416,Pi,Aql
513.6314,Xi,Scl
512.8239,The,Pic
512.0189,Eps,Lup
510.4162,Chi,Cen
509.6188,Pi,Sgr
508.8236,Tau-1,Ari
508.8236,Phi,UMa
508.0310,Zet-3,Lib
508.0310,Kap,Eri
506.4534,Alp,Per
505.6683,Mu,Cen
502.5516,Zet,Scl
502.5516,The,Pyx
501.7786,Psi,Crt
501.0076,Mu-1,Sco
501.0076,Lam,PsA
500.2392,Kap,Pav
499.4733,Nu,Leo
499.4733,Iot,And
499.4733,Chi-3,Sgr
497.9482,Gam,Mon
497.9482,Eta-1,For
497.9482,Alp,Ori
497.1889,Ome,Vir
494.1759,Tau,Ori
494.1759,Sig,Ari
493.4280,Omi,Vel
493.4280,Iot,Aur
492.6828,Xi,Oct
492.6828,Bet,CMa
491.1988,The,Dor
491.1988,Mu,Men
491.1988,Kap-2,Ind
491.1988,Del,Sco
490.4600,Kap,Dra
488.2575,Pi-2,Hyi
486.7999,Rho-2,Cnc
