center_name,target_name,filename,array_number,identifier,target,center,ncoeffs,interval,start_sec,numrec
Uranus Barycenter,Titania,ura111.xsp,3,URA111,703,7,11,172800,-3155630400,36521
Uranus Barycenter,Oberon,ura111.xsp,4,URA111,704,7,9,172800,-3155630400,36521
Uranus Barycenter,Miranda,ura111.xsp,5,URA111,705,7,14,86400,-3155673600,73042
Uranus Barycenter,Uranus,ura111.xsp,6,URA111,799,7,16,345600,-3155716800,18261
Solar System Barycenter,Earth-Moon Barycenter,ura111.xsp,7,DE-0430LE-0430,3,0,13,1382400,-3156062400,4566
Solar System Barycenter,Uranus Barycenter,ura111.xsp,8,DE-0430LE-0430,7,0,6,2764800,-3156753600,2284
Solar System Barycenter,Sun,ura111.xsp,9,DE-0430LE-0430,10,0,11,1382400,-3156062400,4566
Earth-Moon Barycenter,Earth,ura111.xsp,10,DE-0430LE-0430,399,3,13,345600,-3155544000,18261
Uranus Barycenter,Caliban,ura112.xsp,1,URA112,716,7,6,3110400,-3154334400,2029
Uranus Barycenter,Sycorax,ura112.xsp,2,URA112,717,7,7,3110400,-3154334400,2029
Uranus Barycenter,Prospero,ura112.xsp,3,URA112,718,7,6,3110400,-3154334400,2029
Uranus Barycenter,Setebos,ura112.xsp,4,URA112,719,7,6,3110400,-3154334400,2029
Uranus Barycenter,Stephano,ura112.xsp,5,URA112,720,7,6,3110400,-3154334400,2029
Uranus Barycenter,Trinculo,ura112.xsp,6,URA112,721,7,6,3110400,-3154334400,2029
Uranus Barycenter,Francisco,ura112.xsp,7,URA112,722,7,9,3110400,-3154334400,2029
Uranus Barycenter,Margaret,ura112.xsp,8,URA112,723,7,11,1555200,-3155112000,4058
Uranus Barycenter,Ferdinand,ura112.xsp,9,URA112,724,7,6,3110400,-3154334400,2029
Uranus Barycenter,Uranus,ura112.xsp,10,URA112,799,7,16,345600,-3155716800,18261
Solar System Barycenter,Earth-Moon Barycenter,ura112.xsp,11,DE-0430LE-0430,3,0,13,1382400,-3156062400,4566
Solar System Barycenter,Uranus Barycenter,ura112.xsp,12,DE-0430LE-0430,7,0,6,2764800,-3156753600,2284
Solar System Barycenter,Sun,ura112.xsp,13,DE-0430LE-0430,10,0,11,1382400,-3156062400,4566
Earth-Moon Barycenter,Earth,ura112.xsp,14,DE-0430LE-0430,399,3,13,345600,-3155544000,18261
