32	883521
2256647	883479
4510762	883568
6765038	883837
9022884	883913
11280852	883738
13534409	883713
15787426	883515
18043064	883566
20300527	883758
22556390	883934
24812237	883899
27069490	883579
29323996	883487
31578111	883369
33834171	883604
36089417	883754
38346507	883659
40601897	883494
42858460	883514
45114274	883269
47368747	883375
49624941	883477
51879495	883830
54135939	883741
56392604	883528
58648887	883219
60904233	883138
63160037	883508
65416457	883699
67673005	883656
69928162	883759
72182551	883632
74436457	883284
76690295	646950
