NAME;LOCATION;DESCRIPTION;DATE;NAME CHANGE SUGGESTION;NOTE
Halloween/Reformation;International;"Halloween is a date celebrated on the night of October 31st. Children wear costumes and they go to peoples' homes saying ""Trick or treat!"" to ask for candy and then people give it to them.

? Reformation Day is a religious holiday celebrated on October 31, alongside All Hallows' Eve, in remembrance of the Reformation, particularly by Lutheran and some Reformed church communities. 

? https://en.wikipedia.org/wiki/Halloween
? https://en.wikipedia.org/wiki/Reformation_Day";annually - october 31;;
All Saints Day;;"Many churches in the United States celebrate All Saints' Day (? ) to honor all the saints, particularly those who do not have their own special feast day, on November 1. All Saints' Day is celebrated in many areas of the United States. In New Orleans, for example, people gather in local cemeteries and decorated the graves with flowers. 

? https://en.wikipedia.org/wiki/All_Saints%27_Day";;? All Saints Day;
DST;United States;"Daylight saving time (DST) is the practice of advancing clocks during summer months by one hour so that in the evening hours day light is experienced later, while sacrificing normal sunrise times. Typically, users in regions with summer time adjust clocks forward one hour close to the start of spring and adjust them backward in the autumn to standard time.

? https://en.wikipedia.org/wiki/Daylight_saving_time";Twice Annually - Second Sunday March & First Sunday November;? DST;NAME is not correct
All Souls Day;International;"All Souls? Day (?) in the United States is dedicated to prayers for the dead. The Day of the Dead is also celebrated on this day. 

? https://en.wikipedia.org/wiki/All_Souls%27_Day";Annually - 2 November;? All Souls Day;
Election Day;United States;"Election Day in the United States is the day set by law for the general elections of public officials. It occurs on the Tuesday right after the first Monday in November.

? https://en.wikipedia.org/wiki/Election_Day_(United_States)";Annually - The Tuesday after the first Monday of November;;
Guy Fawke's Day;Great Britain;"Guy Fawkes Day also known as Guy Fawkes Night is a firework festival in Britain. It remembers the Gunpowder Plot of 5 November 1605.

? http://www.bonfirenight.net/
? https://en.wikipedia.org/wiki/Guy_Fawkes_Night";Annually - November 5;Guy Fawkes Day;
Veterans Day;United States;"Veterans Day is an official United States federal holiday that is observed annually on November 11, honoring people who have served in the U.S. Armed Forces, also known as veterans. Most countries call it Remembrance Day, but the US reserves that word for a different day. 

? https://en.wikipedia.org/wiki/Veterans_Day";Annually - November 11;;
Tolerance Day;International;"The International Day for Tolerance is an annual observance declared by UNESCO in 1995 to generate public awareness of the dangers of intolerance. 

? http://www.un.org/en/events/toleranceday/
? http://www.unesco.org/new/en/unesco/events/prizes-and-celebrations/celebrations/international-day-for-tolerance
? https://en.wikipedia.org/wiki/International_Day_for_Tolerance";Annually - 16 November;;
Philosophy Day;International;"World Philosophy Day was introduced in 2002 by UNESCO to honour philosophical reflection in the entire world by opening up free and accessible spaces. Its objective is to encourage the peoples of the world to share their philosophical heritage and to open their minds to new ideas.

? http://www.un.org/en/events/philosophyday/
? https://en.wikipedia.org/wiki/World_Philosophy_Day";Annually;;
UN Children's Day;International;"Universal Children's Day takes place annually on November 20. First proclaimed by the United Nations General Assembly in 1954, it was established firstly to promote mutual exchange and understanding among children and secondly to initiate action to benefit and promote the welfare of the world's children.

? http://www.un.org/en/events/childrenday/";Annually - November 20;;
