date,time,phase,phaseid,datetime,timestamp,friendlydate
01/06/2021,09:37 AM,Last Quarter,4,2021-01-06 09:37:00,1609925820,"January 6, 2021"
01/13/2021,05:00 AM,New Moon,1,2021-01-13 05:00:00,1610514000,"January 13, 2021"
01/20/2021,09:02 PM,First Quarter,2,2021-01-20 21:02:00,1611176520,"January 20, 2021"
01/28/2021,07:16 PM,Full Moon,3,2021-01-28 19:16:00,1611861360,"January 28, 2021"
02/04/2021,05:37 PM,Last Quarter,4,2021-02-04 17:37:00,1612460220,"February 4, 2021"
02/11/2021,07:06 PM,New Moon,1,2021-02-11 19:06:00,1613070360,"February 11, 2021"
02/19/2021,06:47 PM,First Quarter,2,2021-02-19 18:47:00,1613760420,"February 19, 2021"
02/27/2021,08:17 AM,Full Moon,3,2021-02-27 08:17:00,1614413820,"February 27, 2021"
03/06/2021,01:30 AM,Last Quarter,4,2021-03-06 01:30:00,1614994200,"March 6, 2021"
03/13/2021,10:21 AM,New Moon,1,2021-03-13 10:21:00,1615630860,"March 13, 2021"
03/21/2021,02:40 PM,First Quarter,2,2021-03-21 14:40:00,1616337600,"March 21, 2021"
03/28/2021,06:48 PM,Full Moon,3,2021-03-28 18:48:00,1616957280,"March 28, 2021"
04/04/2021,10:02 AM,Last Quarter,4,2021-04-04 10:02:00,1617530520,"April 4, 2021"
04/12/2021,02:31 AM,New Moon,1,2021-04-12 02:31:00,1618194660,"April 12, 2021"
04/20/2021,06:59 AM,First Quarter,2,2021-04-20 06:59:00,1618901940,"April 20, 2021"
04/27/2021,03:32 AM,Full Moon,3,2021-04-27 03:32:00,1619494320,"April 27, 2021"
05/03/2021,07:50 PM,Last Quarter,4,2021-05-03 19:50:00,1620071400,"May 3, 2021"
05/11/2021,07:00 PM,New Moon,1,2021-05-11 19:00:00,1620759600,"May 11, 2021"
05/19/2021,07:13 PM,First Quarter,2,2021-05-19 19:13:00,1621451580,"May 19, 2021"
05/26/2021,11:14 AM,Full Moon,3,2021-05-26 11:14:00,1622027640,"May 26, 2021"
06/02/2021,07:24 AM,Last Quarter,4,2021-06-02 07:24:00,1622618640,"June 2, 2021"
06/10/2021,10:53 AM,New Moon,1,2021-06-10 10:53:00,1623322380,"June 10, 2021"
06/18/2021,03:54 AM,First Quarter,2,2021-06-18 03:54:00,1623988440,"June 18, 2021"
06/24/2021,06:40 PM,Full Moon,3,2021-06-24 18:40:00,1624560000,"June 24, 2021"
07/01/2021,09:11 PM,Last Quarter,4,2021-07-01 21:11:00,1625173860,"July 1, 2021"
07/10/2021,01:17 AM,New Moon,1,2021-07-10 01:17:00,1625879820,"July 10, 2021"
07/17/2021,10:11 AM,First Quarter,2,2021-07-17 10:11:00,1626516660,"July 17, 2021"
07/24/2021,02:37 AM,Full Moon,3,2021-07-24 02:37:00,1627094220,"July 24, 2021"
07/31/2021,01:16 PM,Last Quarter,4,2021-07-31 13:16:00,1627737360,"July 31, 2021"
08/08/2021,01:50 PM,New Moon,1,2021-08-08 13:50:00,1628430600,"August 8, 2021"
08/15/2021,03:20 PM,First Quarter,2,2021-08-15 15:20:00,1629040800,"August 15, 2021"
08/22/2021,12:02 PM,Full Moon,3,2021-08-22 12:02:00,1629633720,"August 22, 2021"
08/30/2021,07:13 AM,Last Quarter,4,2021-08-30 07:13:00,1630307580,"August 30, 2021"
09/07/2021,12:52 AM,New Moon,1,2021-09-07 00:52:00,1630975920,"September 7, 2021"
09/13/2021,08:39 PM,First Quarter,2,2021-09-13 20:39:00,1631565540,"September 13, 2021"
09/20/2021,11:55 PM,Full Moon,3,2021-09-20 23:55:00,1632182100,"September 20, 2021"
09/29/2021,01:57 AM,Last Quarter,4,2021-09-29 01:57:00,1632880620,"September 29, 2021"
10/06/2021,11:05 AM,New Moon,1,2021-10-06 11:05:00,1633518300,"October 6, 2021"
10/13/2021,03:25 AM,First Quarter,2,2021-10-13 03:25:00,1634095500,"October 13, 2021"
10/20/2021,02:57 PM,Full Moon,3,2021-10-20 14:57:00,1634741820,"October 20, 2021"
10/28/2021,08:05 PM,Last Quarter,4,2021-10-28 20:05:00,1635451500,"October 28, 2021"
11/04/2021,09:15 PM,New Moon,1,2021-11-04 21:15:00,1636060500,"November 4, 2021"
11/11/2021,12:46 PM,First Quarter,2,2021-11-11 12:46:00,1636634760,"November 11, 2021"
11/19/2021,08:57 AM,Full Moon,3,2021-11-19 08:57:00,1637312220,"November 19, 2021"
11/27/2021,12:28 PM,Last Quarter,4,2021-11-27 12:28:00,1638016080,"November 27, 2021"
12/04/2021,07:43 AM,New Moon,1,2021-12-04 07:43:00,1638603780,"December 4, 2021"
12/11/2021,01:36 AM,First Quarter,2,2021-12-11 01:36:00,1639186560,"December 11, 2021"
12/19/2021,04:35 AM,Full Moon,3,2021-12-19 04:35:00,1639888500,"December 19, 2021"
12/27/2021,02:24 AM,Last Quarter,4,2021-12-27 02:24:00,1640571840,"December 27, 2021"
