date,time,phase,phaseid,datetime,timestamp,friendlydate
01/01/2012,06:15 AM,First Quarter,2,2012-01-01 06:15:00,1325398500,"January 1, 2012"
01/09/2012,07:30 AM,Full Moon,3,2012-01-09 07:30:00,1326094200,"January 9, 2012"
01/16/2012,09:08 AM,Last Quarter,4,2012-01-16 09:08:00,1326704880,"January 16, 2012"
01/23/2012,07:39 AM,New Moon,1,2012-01-23 07:39:00,1327304340,"January 23, 2012"
01/31/2012,04:10 AM,First Quarter,2,2012-01-31 04:10:00,1327983000,"January 31, 2012"
02/07/2012,09:54 PM,Full Moon,3,2012-02-07 21:54:00,1328651640,"February 7, 2012"
02/14/2012,05:04 PM,Last Quarter,4,2012-02-14 17:04:00,1329239040,"February 14, 2012"
02/21/2012,10:35 PM,New Moon,1,2012-02-21 22:35:00,1329863700,"February 21, 2012"
03/01/2012,01:21 AM,First Quarter,2,2012-03-01 01:21:00,1330564860,"March 1, 2012"
03/08/2012,09:39 AM,Full Moon,3,2012-03-08 09:39:00,1331199540,"March 8, 2012"
03/15/2012,01:25 AM,Last Quarter,4,2012-03-15 01:25:00,1331774700,"March 15, 2012"
03/22/2012,02:37 PM,New Moon,1,2012-03-22 14:37:00,1332427020,"March 22, 2012"
03/30/2012,07:41 PM,First Quarter,2,2012-03-30 19:41:00,1333136460,"March 30, 2012"
04/06/2012,07:19 PM,Full Moon,3,2012-04-06 19:19:00,1333739940,"April 6, 2012"
04/13/2012,10:50 AM,Last Quarter,4,2012-04-13 10:50:00,1334314200,"April 13, 2012"
04/21/2012,07:18 AM,New Moon,1,2012-04-21 07:18:00,1334992680,"April 21, 2012"
04/29/2012,09:57 AM,First Quarter,2,2012-04-29 09:57:00,1335693420,"April 29, 2012"
05/06/2012,03:35 AM,Full Moon,3,2012-05-06 03:35:00,1336275300,"May 6, 2012"
05/12/2012,09:47 PM,Last Quarter,4,2012-05-12 21:47:00,1336859220,"May 12, 2012"
05/20/2012,11:47 PM,New Moon,1,2012-05-20 23:47:00,1337557620,"May 20, 2012"
05/28/2012,08:16 PM,First Quarter,2,2012-05-28 20:16:00,1338236160,"May 28, 2012"
06/04/2012,11:12 AM,Full Moon,3,2012-06-04 11:12:00,1338808320,"June 4, 2012"
06/11/2012,10:41 AM,Last Quarter,4,2012-06-11 10:41:00,1339411260,"June 11, 2012"
06/19/2012,03:02 PM,New Moon,1,2012-06-19 15:02:00,1340118120,"June 19, 2012"
06/27/2012,03:30 AM,First Quarter,2,2012-06-27 03:30:00,1340767800,"June 27, 2012"
07/03/2012,06:52 PM,Full Moon,3,2012-07-03 18:52:00,1341341520,"July 3, 2012"
07/11/2012,01:48 AM,Last Quarter,4,2012-07-11 01:48:00,1341971280,"July 11, 2012"
07/19/2012,04:24 AM,New Moon,1,2012-07-19 04:24:00,1342671840,"July 19, 2012"
07/26/2012,08:56 AM,First Quarter,2,2012-07-26 08:56:00,1343292960,"July 26, 2012"
08/02/2012,03:27 AM,Full Moon,3,2012-08-02 03:27:00,1343878020,"August 2, 2012"
08/09/2012,06:55 PM,Last Quarter,4,2012-08-09 18:55:00,1344538500,"August 9, 2012"
08/17/2012,03:54 PM,New Moon,1,2012-08-17 15:54:00,1345218840,"August 17, 2012"
08/24/2012,01:54 PM,First Quarter,2,2012-08-24 13:54:00,1345816440,"August 24, 2012"
08/31/2012,01:58 PM,Full Moon,3,2012-08-31 13:58:00,1346421480,"August 31, 2012"
09/08/2012,01:15 PM,Last Quarter,4,2012-09-08 13:15:00,1347110100,"September 8, 2012"
09/16/2012,02:11 AM,New Moon,1,2012-09-16 02:11:00,1347761460,"September 16, 2012"
09/22/2012,07:41 PM,First Quarter,2,2012-09-22 19:41:00,1348342860,"September 22, 2012"
09/30/2012,03:19 AM,Full Moon,3,2012-09-30 03:19:00,1348975140,"September 30, 2012"
10/08/2012,07:33 AM,Last Quarter,4,2012-10-08 07:33:00,1349681580,"October 8, 2012"
10/15/2012,12:02 PM,New Moon,1,2012-10-15 12:02:00,1350302520,"October 15, 2012"
10/22/2012,03:32 AM,First Quarter,2,2012-10-22 03:32:00,1350876720,"October 22, 2012"
10/29/2012,07:49 PM,Full Moon,3,2012-10-29 19:49:00,1351540140,"October 29, 2012"
11/07/2012,12:36 AM,Last Quarter,4,2012-11-07 00:36:00,1352248560,"November 7, 2012"
11/13/2012,10:08 PM,New Moon,1,2012-11-13 22:08:00,1352844480,"November 13, 2012"
11/20/2012,02:31 PM,First Quarter,2,2012-11-20 14:31:00,1353421860,"November 20, 2012"
11/28/2012,02:46 PM,Full Moon,3,2012-11-28 14:46:00,1354113960,"November 28, 2012"
12/06/2012,03:31 PM,Last Quarter,4,2012-12-06 15:31:00,1354807860,"December 6, 2012"
12/13/2012,08:42 AM,New Moon,1,2012-12-13 08:42:00,1355388120,"December 13, 2012"
12/20/2012,05:19 AM,First Quarter,2,2012-12-20 05:19:00,1355980740,"December 20, 2012"
12/28/2012,10:21 AM,Full Moon,3,2012-12-28 10:21:00,1356690060,"December 28, 2012"
