date,time,phase,phaseid,datetime,timestamp,friendlydate
01/02/2016,05:30 AM,Last Quarter,4,2016-01-02 05:30:00,1451712600,"January 2, 2016"
01/10/2016,01:30 AM,New Moon,1,2016-01-10 01:30:00,1452389400,"January 10, 2016"
01/16/2016,11:26 PM,First Quarter,2,2016-01-16 23:26:00,1452986760,"January 16, 2016"
01/24/2016,01:46 AM,Full Moon,3,2016-01-24 01:46:00,1453599960,"January 24, 2016"
02/01/2016,03:28 AM,Last Quarter,4,2016-02-01 03:28:00,1454297280,"February 1, 2016"
02/08/2016,02:39 PM,New Moon,1,2016-02-08 14:39:00,1454942340,"February 8, 2016"
02/15/2016,07:46 AM,First Quarter,2,2016-02-15 07:46:00,1455522360,"February 15, 2016"
02/22/2016,06:20 PM,Full Moon,3,2016-02-22 18:20:00,1456165200,"February 22, 2016"
03/01/2016,11:11 PM,Last Quarter,4,2016-03-01 23:11:00,1456873860,"March 1, 2016"
03/09/2016,01:54 AM,New Moon,1,2016-03-09 01:54:00,1457488440,"March 9, 2016"
03/15/2016,05:03 PM,First Quarter,2,2016-03-15 17:03:00,1458061380,"March 15, 2016"
03/23/2016,12:01 PM,Full Moon,3,2016-03-23 12:01:00,1458734460,"March 23, 2016"
03/31/2016,03:17 PM,Last Quarter,4,2016-03-31 15:17:00,1459437420,"March 31, 2016"
04/07/2016,11:24 AM,New Moon,1,2016-04-07 11:24:00,1460028240,"April 7, 2016"
04/14/2016,03:59 AM,First Quarter,2,2016-04-14 03:59:00,1460606340,"April 14, 2016"
04/22/2016,05:24 AM,Full Moon,3,2016-04-22 05:24:00,1461302640,"April 22, 2016"
04/30/2016,03:29 AM,Last Quarter,4,2016-04-30 03:29:00,1461986940,"April 30, 2016"
05/06/2016,07:29 PM,New Moon,1,2016-05-06 19:29:00,1462562940,"May 6, 2016"
05/13/2016,05:02 PM,First Quarter,2,2016-05-13 17:02:00,1463158920,"May 13, 2016"
05/21/2016,09:14 PM,Full Moon,3,2016-05-21 21:14:00,1463865240,"May 21, 2016"
05/29/2016,12:12 PM,Last Quarter,4,2016-05-29 12:12:00,1464523920,"May 29, 2016"
06/05/2016,02:59 AM,New Moon,1,2016-06-05 02:59:00,1465095540,"June 5, 2016"
06/12/2016,08:10 AM,First Quarter,2,2016-06-12 08:10:00,1465719000,"June 12, 2016"
06/20/2016,11:02 AM,Full Moon,3,2016-06-20 11:02:00,1466420520,"June 20, 2016"
06/27/2016,06:19 PM,Last Quarter,4,2016-06-27 18:19:00,1467051540,"June 27, 2016"
07/04/2016,11:01 AM,New Moon,1,2016-07-04 11:01:00,1467630060,"July 4, 2016"
07/12/2016,12:52 AM,First Quarter,2,2016-07-12 00:52:00,1468284720,"July 12, 2016"
07/19/2016,10:56 PM,Full Moon,3,2016-07-19 22:56:00,1468968960,"July 19, 2016"
07/26/2016,11:00 PM,Last Quarter,4,2016-07-26 23:00:00,1469574000,"July 26, 2016"
08/02/2016,08:44 PM,New Moon,1,2016-08-02 20:44:00,1470170640,"August 2, 2016"
08/10/2016,06:21 PM,First Quarter,2,2016-08-10 18:21:00,1470853260,"August 10, 2016"
08/18/2016,09:26 AM,Full Moon,3,2016-08-18 09:26:00,1471512360,"August 18, 2016"
08/25/2016,03:41 AM,Last Quarter,4,2016-08-25 03:41:00,1472096460,"August 25, 2016"
09/01/2016,09:03 AM,New Moon,1,2016-09-01 09:03:00,1472720580,"September 1, 2016"
09/09/2016,11:49 AM,First Quarter,2,2016-09-09 11:49:00,1473421740,"September 9, 2016"
09/16/2016,07:05 PM,Full Moon,3,2016-09-16 19:05:00,1474052700,"September 16, 2016"
09/23/2016,09:56 AM,Last Quarter,4,2016-09-23 09:56:00,1474624560,"September 23, 2016"
10/01/2016,12:11 AM,New Moon,1,2016-10-01 00:11:00,1475280660,"October 1, 2016"
10/09/2016,04:33 AM,First Quarter,2,2016-10-09 04:33:00,1475987580,"October 9, 2016"
10/16/2016,04:23 AM,Full Moon,3,2016-10-16 04:23:00,1476591780,"October 16, 2016"
10/22/2016,07:14 PM,Last Quarter,4,2016-10-22 19:14:00,1477163640,"October 22, 2016"
10/30/2016,05:38 PM,New Moon,1,2016-10-30 17:38:00,1477849080,"October 30, 2016"
11/07/2016,07:51 PM,First Quarter,2,2016-11-07 19:51:00,1478548260,"November 7, 2016"
11/14/2016,01:52 PM,Full Moon,3,2016-11-14 13:52:00,1479131520,"November 14, 2016"
11/21/2016,08:33 AM,Last Quarter,4,2016-11-21 08:33:00,1479717180,"November 21, 2016"
11/29/2016,12:18 PM,New Moon,1,2016-11-29 12:18:00,1480421880,"November 29, 2016"
12/07/2016,09:03 AM,First Quarter,2,2016-12-07 09:03:00,1481101380,"December 7, 2016"
12/14/2016,12:05 AM,Full Moon,3,2016-12-14 00:05:00,1481673900,"December 14, 2016"
12/21/2016,01:56 AM,Last Quarter,4,2016-12-21 01:56:00,1482285360,"December 21, 2016"
12/29/2016,06:53 AM,New Moon,1,2016-12-29 06:53:00,1482994380,"December 29, 2016"
