country1,country2,border_length_in_meters
Saudi Arabia,United Arab Emirates,457115.761410435
Romania,Serbia,458802.959074752
France,Switzerland,460267.429619898
Algeria,Mauritania,461962.73956864
Belgium,France,463471.008582921
Guinea,Liberia,464670.913501763
Cameroon,Republic of the Congo,471780.747150868
Democratic Republic of the Congo,Tanzania,473766.83848044
Germany,Netherlands,476916.687479001
Belarus,Lithuania,481904.452002127
Finland,Sweden,483125.842135701
Hungary,Slovakia,483818.931255998
Mozambique,South Africa,494292.453665335
Côte d'Ivoire,Mali,495851.633546801
Burkina Faso,Côte d'Ivoire,510290.036016335
Romania,Ukraine,515830.697523396
Brazil,France,516708.158845808
Colombia,Ecuador,520940.083857779
Burkina Faso,Ghana,537134.035484491
Côte d'Ivoire,Guinea,561670.215077679
Côte d'Ivoire,Liberia,565544.12929004
Oman,United Arab Emirates,567314.509343251
France,Spain,567695.508075031
Bulgaria,Romania,583907.181126798
Azerbaijan,Iran,585532.987242148
Czech Republic,Germany,587567.573268275
Bhutan,India,590078.909239897
Eritrea,Sudan,593294.207331453
Italy,Switzerland,595991.971734576
Democratic Republic of the Congo,South Sudan,597914.564971379
Iraq,Syria,598883.708646087
Czech Republic,Poland,599293.243548746
Burkina Faso,Niger,599979.639229652
Côte d'Ivoire,Ghana,602273.442401722
Benin,Togo,621845.630804053
Guyana,Venezuela,622310.566781663
Guinea,Sierra Leone,627665.278816494
Austria,Germany,653130.14416275
Guyana,Suriname,656052.544586191
Oman,Saudi Arabia,656888.575724469
Cambodia,Thailand,663404.730143864
Finland,Norway,678279.974377942
Kenya,Somalia,684844.564454753
Georgia,Russian Federation,705053.300939653
Central African Republic,South Sudan,708569.761969583
Ethiopia,Sudan,712716.656791928
Argentina,Bolivia,715205.285188988
Zambia,Zimbabwe,716419.543555896
Mauritania,Senegal,720803.60940924
Afghanistan,Turkmenistan,722946.787033961
Mozambique,Tanzania,724757.268841663
Democratic Republic of the Congo,Uganda,727157.336917466
Jordan,Saudi Arabia,727762.158713403
Senegal,The Gambia,730987.49559468
Benin,Nigeria,735741.565865767
Bolivia,Paraguay,742525.623655527
Kenya,Uganda,746034.571428106
Indonesia,Papua New Guinea,748627.999252667
Armenia,Azerbaijan,753905.352630887
Ethiopia,Somaliland,760771.002669957
Kenya,Tanzania,762067.38993315
Honduras,Nicaragua,765929.60536497
Botswana,Zimbabwe,772131.580015362
Syria,Turkey,775565.507091672
Lesotho,South Africa,784230.298969859
Cameroon,Central African Republic,788306.56598063
Ethiopia,Kenya,788388.539153606
Brazil,Uruguay,793091.852131617
Bosnia and Herzegovina,Croatia,798983.158469337
Malawi,Zambia,802687.776486311
Iraq,Saudi Arabia,812734.720922842
Iran,Pakistan,816589.904180071
Bolivia,Chile,825646.1994228
Kyrgyzstan,Tajikistan,837556.370899446
China,Kyrgyzstan,838713.689078848
Mali,Niger,842504.559749496
Ghana,Togo,851739.829579271
Guinea,Mali,855950.076157007
Ethiopia,Somalia,857527.60092773
Belarus,Ukraine,861521.290162026
Afghanistan,Iran,866217.349303974
Ethiopia,South Sudan,882094.799231252
Eritrea,Ethiopia,892309.477661903
Guatemala,Mexico,894810.797224761
Moldova,Ukraine,897979.646334054
Algeria,Tunisia,916019.895532494
Belarus,Russian Federation,919555.024783467
Namibia,South Africa,940371.781132079
Algeria,Niger,952215.613760087
