k,n,p1,p2,p3,p4,p5,p6
23,27,0.00000000000001108294357,0.00000004008327427,0.0001553343245,0.02738570553,0.4960063541,0.4764525659
24,27,0.0000000000000003659399358,0.000000003259940911,0.00002461345835,0.008210425796,0.3109017694,0.6808631881
25,27,0.000000000000000008706481535,0.0000000001913292613,0.000002823578717,0.001796872938,0.1469949300,0.8512053733
26,27,0.0000000000000000001328786319,0.000000000007212549455,0.0000002086090442,0.0002550050978,0.04633410189,0.9534106844
27,27,0.0000000000000000000009770487639,0.0000000000001311372643,0.000000007450449460,0.00001759349522,0.007261979617,0.9927204194
1,28,0.9939336829,0.006054583172,0.00001173023857,0.000000003725246586,0.00000000000004371242158,0.0000000000000000000001628414607
2,28,0.9599623069,0.03986168364,0.0001759014245,0.0000001080309270,0.000000000002491608017,0.00000000000000000002296064595
3,28,0.8682395918,0.1304755391,0.001283352850,0.000001516124567,0.00000000006858478816,0.000000000000000001561812449
4,28,0.7092535523,0.2846565204,0.006076207001,0.00001371902997,0.000000001214199871,0.00000000000000006824539059
5,28,0.5105210030,0.4683732629,0.02101573857,0.00008998002864,0.00000001553438715,0.000000000000002152107207
6,28,0.3197377556,0.6231185738,0.05668755355,0.0004559640854,0.0000001530081550,0.00000000000005216479081
7,28,0.1734705992,0.7003130185,0.1243567993,0.001858375986,0.000001206973134,0.000000000001010741227
8,28,0.08153124383,0.6837095413,0.2284887392,0.006262643783,0.000007831886818,0.00000000001607408522
9,28,0.03326308224,0.5895152350,0.3593726136,0.01780645631,0.00004261256504,0.0000000002137804751
10,28,0.01181056598,0.4526761204,0.4919340370,0.04338208220,0.0001971920391,0.000000002410518140
11,28,0.003658609799,0.3104510273,0.5934236919,0.09168206622,0.0007845815191,0.00000002327952596
12,28,0.0009906968671,0.1900831725,0.6364619052,0.1697571868,0.002706844642,0.0000001940259536
13,28,0.0002347882031,0.1036887458,0.6102823718,0.2776401596,0.008152531152,0.000001403479816
14,28,0.00004871837816,0.05024383997,0.5244304320,0.4037153311,0.02155283227,0.000008846272814
15,28,0.000008846272814,0.02155283227,0.4037153311,0.5244304320,0.05024383997,0.00004871837816
16,28,0.000001403479816,0.008152531152,0.2776401596,0.6102823718,0.1036887458,0.0002347882031
17,28,0.0000001940259536,0.002706844642,0.1697571868,0.6364619052,0.1900831725,0.0009906968671
18,28,0.00000002327952596,0.0007845815191,0.09168206622,0.5934236919,0.3104510273,0.003658609799
19,28,0.000000002410518140,0.0001971920391,0.04338208220,0.4919340370,0.4526761204,0.01181056598
20,28,0.0000000002137804751,0.00004261256504,0.01780645631,0.3593726136,0.5895152350,0.03326308224
21,28,0.00000000001607408522,0.000007831886818,0.006262643783,0.2284887392,0.6837095413,0.08153124383
22,28,0.000000000001010741227,0.000001206973134,0.001858375986,0.1243567993,0.7003130185,0.1734705992
23,28,0.00000000000005216479081,0.0000001530081550,0.0004559640854,0.05668755355,0.6231185738,0.3197377556
24,28,0.000000000000002152107207,0.00000001553438715,0.00008998002864,0.02101573857,0.4683732629,0.5105210030
25,28,0.00000000000000006824539059,0.000000001214199871,0.00001371902997,0.006076207001,0.2846565204,0.7092535523
26,28,0.000000000000000001561812449,0.00000000006858478816,0.000001516124567,0.001283352850,0.1304755391,0.8682395918
27,28,0.00000000000000000002296064595,0.000000000002491608017,0.0000001080309270,0.0001759014245,0.03986168364,0.9599623069
28,28,0.0000000000000000000001628414607,0.00000000000004371242158,0.000000003725246586,0.00001173023857,0.006054583172,0.9939336829
1,29,0.9949447357,0.005047441637,0.000007820779931,0.000000001862630578,0.00000000000001457080722,0.00000000000000000000002714024344
2,29,0.9656242029,0.03425454614,0.0001211950806,0.00000005587849480,0.0000000000008596776237,0.000000000000000000003962475543
3,29,0.8835267110,0.1155580398,0.0009144370681,0.0000008120887624,0.00000000002452266832,0.0000000000000000002794359465
4,29,0.7357512256,0.2597605333,0.004480622959,0.000007617768204,0.0000000004504564934,0.00000000000000001267574214
5,29,0.5436430945,0.4402564403,0.01604860726,0.00005185191600,0.000000005987595978,0.0000000000000004155556934
6,29,0.3515349635,0.6033340114,0.04485796881,0.0002729949693,0.00000006135898478,0.00000000000001048755447
7,29,0.1978484586,0.6989593963,0.1020342951,0.001157345697,0.0000005043299743,0.0000000000002119275301
8,29,0.09685446973,0.7045672596,0.1945132414,0.004061614039,0.000003415280206,0.000000000003521298558
9,29,0.04130777584,0.6289580307,0.3176744211,0.01204034686,0.00001942547918,0.00000000004902515020
10,29,0.01538598536,0.5018645780,0.4520352638,0.03062003287,0.00009413942251,0.0000000005799034193
11,29,0.005017269162,0.3592180510,0.5677417060,0.06762997594,0.0003929920106,0.000000005888686110
12,29,0.001435349022,0.2306504429,0.6354487598,0.1310400321,0.001425364351,0.00000005173726390
13,29,0.0003607729805,0.1326128728,0.6378971944,0.2246064892,0.004522275054,0.0000003956015973
14,29,0.00007973001566,0.06808982021,0.5762948979,0.3429123693,0.01262053866,0.000002643945316
15,29,0.00001549162371,0.03112314685,0.4688613615,0.4688613615,0.03112314685,0.00001549162371
16,29,0.000002643945316,0.01262053866,0.3429123693,0.5762948979,0.06808982021,0.00007973001566
17,29,0.0000003956015973,0.004522275054,0.2246064892,0.6378971944,0.1326128728,0.0003607729805
18,29,0.00000005173726390,0.001425364351,0.1310400321,0.6354487598,0.2306504429,0.001435349022
19,29,0.000000005888686110,0.0003929920106,0.06762997594,0.5677417060,0.3592180510,0.005017269162
20,29,0.0000000005799034193,0.00009413942251,0.03062003287,0.4520352638,0.5018645780,0.01538598536
21,29,0.00000000004902515020,0.00001942547918,0.01204034686,0.3176744211,0.6289580307,0.04130777584
22,29,0.000000000003521298558,0.000003415280206,0.004061614039,0.1945132414,0.7045672596,0.09685446973
23,29,0.0000000000002119275301,0.0000005043299743,0.001157345697,0.1020342951,0.6989593963,0.1978484586
24,29,0.00000000000001048755447,0.00000006135898478,0.0002729949693,0.04485796881,0.6033340114,0.3515349635
25,29,0.0000000000000004155556934,0.000000005987595978,0.00005185191600,0.01604860726,0.4402564403,0.5436430945
26,29,0.00000000000000001267574214,0.0000000004504564934,0.000007617768204,0.004480622959,0.2597605333,0.7357512256
27,29,0.0000000000000000002794359465,0.00000000002452266832,0.0000008120887624,0.0009144370681,0.1155580398,0.8835267110
28,29,0.000000000000000000003962475543,0.0000000000008596776237,0.00000005587849480,0.0001211950806,0.03425454614,0.9656242029
29,29,0.00000000000000000000002714024344,0.00000000000001457080722,0.000000001862630578,0.000007820779931,0.005047441637,0.9949447357
1,30,0.9957872798,0.004207505138,0.000005214163728,0.0000000009313177177,0.000000000000004856935745,0.000000000000000000000004523373907
2,30,0.9705109584,0.02940560011,0.00008341264981,0.00000002887070354,0.0000000000002962730800,0.0000000000000000000006830294600
3,30,0.8972096263,0.1021397906,0.0006501491113,0.0000004339875724,0.000000000008747341235,0.00000000000000000004987472070
4,30,0.7603804731,0.2363222830,0.003293028680,0.000004214999472,0.0000000001665006121,0.000000000000000002345486979
5,30,0.5756611164,0.4121091598,0.01219998578,0.00002973576496,0.000000002296169722,0.00000000000000007982240068
6,30,0.3835529853,0.5809928429,0.03529171470,0.0001624326712,0.00000002444472726,0.000000000000002094222157
7,30,0.2234628761,0.6926986855,0.08312298526,0.0007152441616,0.0000002090160149,0.00000000000004406088375
8,30,0.1136868012,0.7195303033,0.1641714558,0.002609965027,0.000001474647270,0.0000000000007634893681
9,30,0.05056555815,0.6634188893,0.2779531517,0.008053648823,0.000008752020780,0.00000000001110527383
10,30,0.01970628377,0.5485493607,0.4103573829,0.02134264228,0.00004433021544,0.0000000001375048617
11,30,0.006745388527,0.4084950127,0.5353910254,0.04917481405,0.0001937578367,0.000000001464700534
12,30,0.002032335712,0.2741032990,0.6236201543,0.09950707374,0.0007371237655,0.00000001353011574
13,30,0.0005398689874,0.1654711589,0.6531916681,0.1783394697,0.002457725230,0.0000001090479861
14,30,0.0001265705098,0.08964434491,0.6178967287,0.2851095146,0.007222070979,0.0000007703255503
15,30,0.00002619802236,0.04345607771,0.5287499483,0.4089727747,0.01879021600,0.000004785225047
16,30,0.000004785225047,0.01879021600,0.4089727747,0.5287499483,0.04345607771,0.00002619802236
17,30,0.0000007703255503,0.007222070979,0.2851095146,0.6178967287,0.08964434491,0.0001265705098
